epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score
0,2.3065319061279297,9,,,,,,,,,,
0,1.736099123954773,19,,,,,,,,,,
0,2.044252634048462,29,,,,,,,,,,
0,1.379794955253601,39,,,,,,,,,,
0,1.2839791774749756,49,,,,,,,,,,
0,,51,0.3053097426891327,0.8484946489334106,0.5538574457168579,1.5208263397216797,0.4968479573726654,,,,,
1,1.7060714960098267,59,,,,,,,,,,
1,1.6312931776046753,69,,,,,,,,,,
1,1.2562410831451416,79,,,,,,,,,,
1,1.2279647588729858,89,,,,,,,,,,
1,1.4371962547302246,99,,,,,,,,,,
1,,103,0.3761062026023865,0.8540298342704773,0.5657063722610474,1.3731554746627808,0.521032452583313,,,,,
2,1.9747174978256226,109,,,,,,,,,,
2,1.3924572467803955,119,,,,,,,,,,
2,0.8979284763336182,129,,,,,,,,,,
2,1.7041112184524536,139,,,,,,,,,,
2,0.9537521600723267,149,,,,,,,,,,
2,,155,0.3761062026023865,0.8563612103462219,0.571337878704071,1.3161680698394775,0.5260956883430481,,,,,
3,1.5105829238891602,159,,,,,,,,,,
3,1.3525851964950562,169,,,,,,,,,,
3,0.6622861623764038,179,,,,,,,,,,
3,0.595650315284729,189,,,,,,,,,,
3,0.8301368951797485,199,,,,,,,,,,
3,,207,0.38053098320961,0.8726332187652588,0.5794596076011658,1.2887098789215088,0.5397335886955261,,,,,
4,1.2128602266311646,209,,,,,,,,,,
4,0.6545839309692383,219,,,,,,,,,,
4,1.7293860912322998,229,,,,,,,,,,
4,0.9847581386566162,239,,,,,,,,,,
4,0.5238097310066223,249,,,,,,,,,,
4,1.8586301803588867,259,,,,,,,,,,
4,,259,0.389380544424057,0.8716808557510376,0.5746093988418579,1.2578285932540894,0.5399731397628784,,,,,
5,,260,,,,,,1.2578285932540894,0.389380544424057,0.5399731397628784,0.5746093988418579,0.8716808557510376
