train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0.8192995190620422,0,9,,,,,,,,,,
0.7501678466796875,0,19,,,,,,,,,,
0.4486876428127289,0,29,,,,,,,,,,
,0,30,0.5592782497406006,0.31879884004592896,0.8232523798942566,0.21641790866851807,0.3028971254825592,,,,,
0.4139174520969391,1,39,,,,,,,,,,
0.592265248298645,1,49,,,,,,,,,,
0.6135390400886536,1,59,,,,,,,,,,
,1,61,0.48018935322761536,0.3721984028816223,0.8381493091583252,0.2761194109916687,0.3508571982383728,,,,,
0.41880545020103455,2,69,,,,,,,,,,
0.5174868702888489,2,79,,,,,,,,,,
0.5059270262718201,2,89,,,,,,,,,,
,2,92,0.43425488471984863,0.4020559787750244,0.8490385413169861,0.305970162153244,0.3906521201133728,,,,,
0.45602867007255554,3,99,,,,,,,,,,
0.5275989770889282,3,109,,,,,,,,,,
0.37875381112098694,3,119,,,,,,,,,,
,3,123,0.4165565073490143,0.41490036249160767,0.8575080633163452,0.3208955228328705,0.4127604067325592,,,,,
0.5110847353935242,4,129,,,,,,,,,,
0.40951284766197205,4,139,,,,,,,,,,
0.19949695467948914,4,149,,,,,,,,,,
,4,154,0.3971552848815918,0.41474679112434387,0.8591556549072266,0.3208955228328705,0.4075520932674408,,,,,
,5,155,,,,,,0.4165565073490143,0.41490036249160767,0.8575080633163452,0.3208955228328705,0.4127604067325592
