epoch,train_loss,step,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0,1.2483127117156982,9,,,,,,,,,,
0,2.7937099933624268,19,,,,,,,,,,
0,1.6586434841156006,29,,,,,,,,,,
0,2.182121992111206,39,,,,,,,,,,
0,,48,0.5065487027168274,0.8508592844009399,0.5791451334953308,0.31100478768348694,1.9336061477661133,,,,,
1,0.9526631832122803,49,,,,,,,,,,
1,1.3149915933609009,59,,,,,,,,,,
1,1.2805436849594116,69,,,,,,,,,,
1,2.1136460304260254,79,,,,,,,,,,
1,1.1096174716949463,89,,,,,,,,,,
1,,97,0.5442301034927368,0.849956214427948,0.5561605095863342,0.3732057511806488,1.7421293258666992,,,,,
2,1.726824164390564,99,,,,,,,,,,
2,0.550056517124176,109,,,,,,,,,,
2,1.341977596282959,119,,,,,,,,,,
2,1.1550421714782715,129,,,,,,,,,,
2,5.811704635620117,139,,,,,,,,,,
2,,146,0.55550616979599,0.8538937568664551,0.5692220330238342,0.38755980134010315,1.6740617752075195,,,,,
3,2.0399253368377686,149,,,,,,,,,,
3,1.3369210958480835,159,,,,,,,,,,
3,0.8313705325126648,169,,,,,,,,,,
3,0.8751240372657776,179,,,,,,,,,,
3,0.7366215586662292,189,,,,,,,,,,
3,,195,0.5513160228729248,0.8529147505760193,0.5677920579910278,0.38755980134010315,1.62952721118927,,,,,
4,1.3233975172042847,199,,,,,,,,,,
4,0.9624618291854858,209,,,,,,,,,,
4,0.8720554709434509,219,,,,,,,,,,
4,1.5950851440429688,229,,,,,,,,,,
4,0.6268295645713806,239,,,,,,,,,,
4,,244,0.5582175254821777,0.8734326362609863,0.6295514702796936,0.4066985547542572,1.6027811765670776,,,,,
5,,245,,,,,,0.5582175254821777,1.6027811765670776,0.8734326362609863,0.4066985547542572,0.6295514702796936
