epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss
0,1.063604712486267,9,,,,,,,,,,
0,0.7156122326850891,19,,,,,,,,,,
0,0.849793553352356,29,,,,,,,,,,
0,0.7275680899620056,39,,,,,,,,,,
0,,41,0.24226416647434235,0.16233766078948975,0.6088603138923645,0.7703651189804077,0.22101441025733948,,,,,
1,0.6029040217399597,49,,,,,,,,,,
1,0.45408713817596436,59,,,,,,,,,,
1,0.7094973921775818,69,,,,,,,,,,
1,0.5521931052207947,79,,,,,,,,,,
1,,83,0.2569120228290558,0.18831168115139008,0.39942121505737305,0.7716418504714966,0.22713012993335724,,,,,
2,0.5222316384315491,89,,,,,,,,,,
2,0.4637409448623657,99,,,,,,,,,,
2,0.37345436215400696,109,,,,,,,,,,
2,0.31073808670043945,119,,,,,,,,,,
2,,125,0.35858485102653503,0.30519479513168335,0.3318997323513031,0.8030486106872559,0.33415526151657104,,,,,
3,0.39801129698753357,129,,,,,,,,,,
3,0.3189006745815277,139,,,,,,,,,,
3,0.39690855145454407,149,,,,,,,,,,
3,0.35107892751693726,159,,,,,,,,,,
3,,167,0.36942893266677856,0.31168830394744873,0.31062212586402893,0.8129591941833496,0.3446289002895355,,,,,
4,0.28042837977409363,169,,,,,,,,,,
4,0.4090733230113983,179,,,,,,,,,,
4,0.3726753294467926,189,,,,,,,,,,
4,0.4361501932144165,199,,,,,,,,,,
4,0.2804264426231384,209,,,,,,,,,,
4,,209,0.4257092773914337,0.37662336230278015,0.28666386008262634,0.8282648324966431,0.39515382051467896,,,,,
5,,210,,,,,,0.8282648324966431,0.4257092773914337,0.37662336230278015,0.39515382051467896,0.28666386008262634
