step,epoch,train_loss,val_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,1.2654180526733398,,,,,,
19,0,0.5235955715179443,,,,,,
29,0,0.6458802223205566,,,,,,
39,0,0.3403250277042389,,,,,,
49,0,0.49063631892204285,,,,,,
59,0,0.35611191391944885,,,,,,
69,0,0.4023113548755646,,,,,,
79,0,0.2536911964416504,,,,,,
80,0,,0.0998944416642189,0.18333333730697632,0.299415647983551,0.2712283134460449,0.7880916595458984,
89,1,0.19096609950065613,,,,,,
99,1,0.2724153697490692,,,,,,
109,1,0.15952549874782562,,,,,,
119,1,0.22630448639392853,,,,,,
129,1,0.27315470576286316,,,,,,
139,1,0.22106094658374786,,,,,,
149,1,0.21783004701137543,,,,,,
159,1,0.2375079244375229,,,,,,
161,1,,0.09018524736166,0.25,0.3032318651676178,0.3227512240409851,0.7988923192024231,
169,2,0.10316882282495499,,,,,,
179,2,0.15744000673294067,,,,,,
189,2,0.1999904066324234,,,,,,
199,2,0.15301528573036194,,,,,,
209,2,0.1528586745262146,,,,,,
219,2,0.12768340110778809,,,,,,
229,2,0.21581952273845673,,,,,,
239,2,0.17000725865364075,,,,,,
242,2,,0.08180185407400131,0.2666666805744171,0.3183597922325134,0.3304029107093811,0.8034535050392151,
249,3,0.08084877580404282,,,,,,
259,3,0.06214088946580887,,,,,,
269,3,0.17545218765735626,,,,,,
279,3,0.09095635265111923,,,,,,
289,3,0.10324957966804504,,,,,,
299,3,0.13519592583179474,,,,,,
309,3,0.13167111575603485,,,,,,
319,3,0.09818576276302338,,,,,,
323,3,,0.08080308884382248,0.3055555522441864,0.35249823331832886,0.37363526225090027,0.8168596029281616,
329,4,0.07755326479673386,,,,,,
339,4,0.10966727882623672,,,,,,
349,4,0.05824403464794159,,,,,,
359,4,0.054067328572273254,,,,,,
369,4,0.05170227959752083,,,,,,
379,4,0.0786319375038147,,,,,,
389,4,0.06610869616270065,,,,,,
399,4,0.059972018003463745,,,,,,
404,4,,0.0842619463801384,0.32777777314186096,0.3775525689125061,0.41210809350013733,0.8241137862205505,
405,5,,,,,,,0.0842619463801384
