epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,1.2548012733459473,9,,,,,,,,,,
0,0.7374745011329651,19,,,,,,,,,,
0,0.8473775386810303,29,,,,,,,,,,
0,0.7034391164779663,39,,,,,,,,,,
0,0.586847186088562,49,,,,,,,,,,
0,0.7171565294265747,59,,,,,,,,,,
0,,59,0.20955882966518402,0.7876595854759216,0.2462145835161209,0.27352672815322876,0.43291592597961426,,,,,
1,0.45429229736328125,69,,,,,,,,,,
1,0.4777481257915497,79,,,,,,,,,,
1,0.35560011863708496,89,,,,,,,,,,
1,0.3383319675922394,99,,,,,,,,,,
1,0.3847472369670868,109,,,,,,,,,,
1,0.4066878855228424,119,,,,,,,,,,
1,,119,0.30882352590560913,0.815155029296875,0.34191155433654785,0.36197200417518616,0.4004834294319153,,,,,
2,0.4866711497306824,129,,,,,,,,,,
2,0.41527166962623596,139,,,,,,,,,,
2,0.30669018626213074,149,,,,,,,,,,
2,0.29898321628570557,159,,,,,,,,,,
2,0.38499170541763306,169,,,,,,,,,,
2,0.5234434604644775,179,,,,,,,,,,
2,,179,0.27941176295280457,0.8141871094703674,0.32516708970069885,0.34779801964759827,0.3586033582687378,,,,,
3,0.3538320064544678,189,,,,,,,,,,
3,0.205349862575531,199,,,,,,,,,,
3,0.23984156548976898,209,,,,,,,,,,
3,0.19901446998119354,219,,,,,,,,,,
3,0.316702663898468,229,,,,,,,,,,
3,0.15913435816764832,239,,,,,,,,,,
3,,239,0.3272058963775635,0.8298277258872986,0.3643522262573242,0.39239710569381714,0.3264301121234894,,,,,
4,0.2239435464143753,249,,,,,,,,,,
4,0.36070144176483154,259,,,,,,,,,,
4,0.1757364273071289,269,,,,,,,,,,
4,0.20736341178417206,279,,,,,,,,,,
4,0.31630006432533264,289,,,,,,,,,,
4,0.31161829829216003,299,,,,,,,,,,
4,,299,0.4375,0.8576021790504456,0.46987852454185486,0.49517351388931274,0.3083801865577698,,,,,
5,,300,,,,,,0.46987852454185486,0.3083801865577698,0.4375,0.8576021790504456,0.49517351388931274
