train_loss,epoch,step,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
3.720604181289673,0,9,,,,,,,,,,
3.3197720050811768,0,19,,,,,,,,,,
2.0663139820098877,0,29,,,,,,,,,,
2.363814353942871,0,39,,,,,,,,,,
1.746091365814209,0,49,,,,,,,,,,
,0,52,0.13461539149284363,0.2024436891078949,0.7476246356964111,0.22947998344898224,1.9873501062393188,,,,,
2.1954760551452637,1,59,,,,,,,,,,
1.0518540143966675,1,69,,,,,,,,,,
10.538175582885742,1,79,,,,,,,,,,
2.4997434616088867,1,89,,,,,,,,,,
1.542108178138733,1,99,,,,,,,,,,
,1,105,0.25,0.35711169242858887,0.8051609992980957,0.38841551542282104,1.6997931003570557,,,,,
1.6027313470840454,2,109,,,,,,,,,,
2.1898930072784424,2,119,,,,,,,,,,
1.7917500734329224,2,129,,,,,,,,,,
1.3464584350585938,2,139,,,,,,,,,,
1.5632058382034302,2,149,,,,,,,,,,
,2,158,0.3205128312110901,0.42185530066490173,0.836607813835144,0.4612793028354645,1.529341459274292,,,,,
1.9172087907791138,3,159,,,,,,,,,,
1.2823854684829712,3,169,,,,,,,,,,
1.241272211074829,3,179,,,,,,,,,,
1.7049729824066162,3,189,,,,,,,,,,
1.9985953569412231,3,199,,,,,,,,,,
1.2260758876800537,3,209,,,,,,,,,,
,3,211,0.32692307233810425,0.4180091321468353,0.8355029225349426,0.45405274629592896,1.4625214338302612,,,,,
1.0483245849609375,4,219,,,,,,,,,,
1.8262234926223755,4,229,,,,,,,,,,
1.5459623336791992,4,239,,,,,,,,,,
0.7408556938171387,4,249,,,,,,,,,,
1.261000633239746,4,259,,,,,,,,,,
,4,264,0.3461538553237915,0.4312552511692047,0.8392311930656433,0.46491700410842896,1.3940261602401733,,,,,
,5,265,,,,,,0.3461538553237915,0.46491700410842896,0.8392311930656433,1.3940261602401733,0.4312552511692047
