train_loss,epoch,step,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_em,test_avg_qa_sas
1.5340889692306519,0,9,,,,,,,,,,
1.3157763481140137,0,19,,,,,,,,,,
1.3219794034957886,0,29,,,,,,,,,,
1.340306043624878,0,39,,,,,,,,,,
1.0811649560928345,0,49,,,,,,,,,,
,0,52,1.3154621124267578,0.3668306767940521,0.7996536493301392,0.11881188303232193,0.25588807463645935,,,,,
1.5800609588623047,1,59,,,,,,,,,,
1.5715786218643188,1,69,,,,,,,,,,
1.7710068225860596,1,79,,,,,,,,,,
1.4958505630493164,1,89,,,,,,,,,,
0.9840948581695557,1,99,,,,,,,,,,
,1,105,1.2443798780441284,0.44781023263931274,0.8230794668197632,0.1881188154220581,0.3551115393638611,,,,,
1.5121153593063354,2,109,,,,,,,,,,
0.8337529301643372,2,119,,,,,,,,,,
0.9671382308006287,2,129,,,,,,,,,,
0.9570308327674866,2,139,,,,,,,,,,
0.8446463942527771,2,149,,,,,,,,,,
,2,158,1.2078474760055542,0.4991548955440521,0.8345550894737244,0.1881188154220581,0.38800519704818726,,,,,
1.396231770515442,3,159,,,,,,,,,,
1.3658502101898193,3,169,,,,,,,,,,
1.1816257238388062,3,179,,,,,,,,,,
1.0087345838546753,3,189,,,,,,,,,,
1.0980638265609741,3,199,,,,,,,,,,
0.6249436140060425,3,209,,,,,,,,,,
,3,211,1.1820619106292725,0.51123046875,0.836795449256897,0.20792078971862793,0.41045889258384705,,,,,
1.4804960489273071,4,219,,,,,,,,,,
1.1074539422988892,4,229,,,,,,,,,,
0.7304044365882874,4,239,,,,,,,,,,
1.11871337890625,4,249,,,,,,,,,,
1.136409878730774,4,259,,,,,,,,,,
,4,264,1.165304183959961,0.5261042714118958,0.8408370614051819,0.19801980257034302,0.4211910665035248,,,,,
,5,265,,,,,,0.4211910665035248,0.8408370614051819,1.165304183959961,0.19801980257034302,0.5261042714118958
