epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0,0.9259681701660156,9,,,,,,,,,,
0,0.9324381351470947,19,,,,,,,,,,
0,0.7866736650466919,29,,,,,,,,,,
0,0.6274302005767822,39,,,,,,,,,,
0,0.48519834876060486,49,,,,,,,,,,
0,0.6907200813293457,59,,,,,,,,,,
0,,60,0.27799227833747864,0.8221439123153687,0.30562472343444824,0.3521251678466797,0.36946219205856323,,,,,
1,0.635368287563324,69,,,,,,,,,,
1,0.639970064163208,79,,,,,,,,,,
1,0.3590145409107208,89,,,,,,,,,,
1,0.5123040676116943,99,,,,,,,,,,
1,0.4323348104953766,109,,,,,,,,,,
1,0.2888421416282654,119,,,,,,,,,,
1,,121,0.3513513505458832,0.8446602821350098,0.38403722643852234,0.411790668964386,0.3252952992916107,,,,,
2,0.42753660678863525,129,,,,,,,,,,
2,0.3262602388858795,139,,,,,,,,,,
2,0.35167035460472107,149,,,,,,,,,,
2,0.27746379375457764,159,,,,,,,,,,
2,0.3656502664089203,169,,,,,,,,,,
2,0.41176527738571167,179,,,,,,,,,,
2,,182,0.41312742233276367,0.857125461101532,0.43904098868370056,0.4714045226573944,0.2926494777202606,,,,,
3,0.22202838957309723,189,,,,,,,,,,
3,0.4290252923965454,199,,,,,,,,,,
3,0.5074335932731628,209,,,,,,,,,,
3,0.3952454924583435,219,,,,,,,,,,
3,0.267875611782074,229,,,,,,,,,,
3,0.2448769509792328,239,,,,,,,,,,
3,,243,0.44015443325042725,0.8683380484580994,0.47112902998924255,0.507328450679779,0.2531381845474243,,,,,
4,0.4758502244949341,249,,,,,,,,,,
4,0.3088497817516327,259,,,,,,,,,,
4,0.17853955924510956,269,,,,,,,,,,
4,0.4161362946033478,279,,,,,,,,,,
4,0.23940688371658325,289,,,,,,,,,,
4,0.1813608556985855,299,,,,,,,,,,
4,,304,0.4749034643173218,0.8752651810646057,0.5050491690635681,0.5396469235420227,0.2586766481399536,,,,,
5,,305,,,,,,0.5050491690635681,0.2586766481399536,0.4749034643173218,0.8752651810646057,0.5396469235420227
