train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
0.7379440665245056,0,9,,,,,,,,,,
0.6912113428115845,0,19,,,,,,,,,,
0.6899210810661316,0,29,,,,,,,,,,
,0,32,0.4794124662876129,0.37495294213294983,0.827049970626831,0.2631579041481018,0.30136871337890625,,,,,
0.6647726893424988,1,39,,,,,,,,,,
0.7448967099189758,1,49,,,,,,,,,,
0.5035170316696167,1,59,,,,,,,,,,
,1,65,0.42746174335479736,0.3885538578033447,0.8288958668708801,0.28947368264198303,0.31928253173828125,,,,,
0.5676138997077942,2,69,,,,,,,,,,
0.1968490332365036,2,79,,,,,,,,,,
0.3420409858226776,2,89,,,,,,,,,,
,2,98,0.3861886262893677,0.42359253764152527,0.8401556015014648,0.3245614171028137,0.34268951416015625,,,,,
0.6214702129364014,3,99,,,,,,,,,,
0.513538658618927,3,109,,,,,,,,,,
0.47834300994873047,3,119,,,,,,,,,,
0.2621265947818756,3,129,,,,,,,,,,
,3,131,0.37725043296813965,0.4550616145133972,0.8487656712532043,0.359649121761322,0.37274932861328125,,,,,
0.29755648970603943,4,139,,,,,,,,,,
0.4762642979621887,4,149,,,,,,,,,,
0.353224515914917,4,159,,,,,,,,,,
,4,164,0.3483601212501526,0.443612277507782,0.8475847244262695,0.359649121761322,0.36731719970703125,,,,,
,5,165,,,,,,0.37725043296813965,0.4550616145133972,0.8487656712532043,0.359649121761322,0.37274932861328125
