epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas
0,9,1.4879239797592163,,,,,,,,,,
0,19,1.3306745290756226,,,,,,,,,,
0,29,1.2465587854385376,,,,,,,,,,
0,39,2.1329147815704346,,,,,,,,,,
0,48,,0.4798114597797394,0.8532009124755859,0.2850678861141205,0.5474417805671692,1.5484076738357544,,,,,
1,49,2.2115378379821777,,,,,,,,,,
1,59,1.3774396181106567,,,,,,,,,,
1,69,1.569209337234497,,,,,,,,,,
1,79,0.7940542101860046,,,,,,,,,,
1,89,0.8618388175964355,,,,,,,,,,
1,97,,0.516463041305542,0.8666486740112305,0.36199095845222473,0.5732683539390564,1.4129661321640015,,,,,
2,99,1.6285476684570312,,,,,,,,,,
2,109,1.6729986667633057,,,,,,,,,,
2,119,1.1214892864227295,,,,,,,,,,
2,129,0.8465790152549744,,,,,,,,,,
2,139,0.7868653535842896,,,,,,,,,,
2,146,,0.5215187668800354,0.8688424229621887,0.3665158450603485,0.5770176649093628,1.3566360473632812,,,,,
3,149,0.6449674367904663,,,,,,,,,,
3,159,1.0031166076660156,,,,,,,,,,
3,169,0.599464476108551,,,,,,,,,,
3,179,1.0148974657058716,,,,,,,,,,
3,189,1.187818169593811,,,,,,,,,,
3,195,,0.5301268100738525,0.8702298402786255,0.37556561827659607,0.5809587836265564,1.297674536705017,,,,,
4,199,0.8127230405807495,,,,,,,,,,
4,209,1.2413169145584106,,,,,,,,,,
4,219,1.3291183710098267,,,,,,,,,,
4,229,1.2048629522323608,,,,,,,,,,
4,239,1.2391183376312256,,,,,,,,,,
4,244,,0.524276852607727,0.8703374266624451,0.36199095845222473,0.5778285264968872,1.2951726913452148,,,,,
5,245,,,,,,,0.8702298402786255,0.37556561827659607,1.297674536705017,0.5301268100738525,0.5809587836265564
