train_loss,step,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_loss
1.396596074104309,9,0,,,,,,,,,,
1.236733078956604,19,0,,,,,,,,,,
0.987827718257904,29,0,,,,,,,,,,
0.8958734273910522,39,0,,,,,,,,,,
,41,0,0.23417721688747406,0.5523380637168884,0.3044067323207855,0.3374174237251282,0.7975653409957886,,,,,
0.6569371223449707,49,1,,,,,,,,,,
0.5009911060333252,59,1,,,,,,,,,,
0.4060474634170532,69,1,,,,,,,,,,
0.5698825716972351,79,1,,,,,,,,,,
,83,1,0.33544304966926575,0.43310749530792236,0.40117186307907104,0.4251653850078583,0.8296138644218445,,,,,
0.308336466550827,89,2,,,,,,,,,,
0.4733927547931671,99,2,,,,,,,,,,
0.4116678535938263,109,2,,,,,,,,,,
0.2917981445789337,119,2,,,,,,,,,,
,125,2,0.3860759437084198,0.3816283643245697,0.4325927793979645,0.4577484130859375,0.8424651026725769,,,,,
0.31873267889022827,129,3,,,,,,,,,,
0.5109971761703491,139,3,,,,,,,,,,
0.4188234210014343,149,3,,,,,,,,,,
0.3670092821121216,159,3,,,,,,,,,,
,167,3,0.37974682450294495,0.3644458055496216,0.42106932401657104,0.45235520601272583,0.8418574333190918,,,,,
0.3032975196838379,169,4,,,,,,,,,,
0.3565810024738312,179,4,,,,,,,,,,
0.44206494092941284,189,4,,,,,,,,,,
0.3908711075782776,199,4,,,,,,,,,,
0.6238796710968018,209,4,,,,,,,,,,
,209,4,0.4430379867553711,0.35867828130722046,0.4840087890625,0.5149681568145752,0.8653568029403687,,,,,
,210,5,,,,,,0.4430379867553711,0.5149681568145752,0.4840087890625,0.8653568029403687,0.35867828130722046
