train_loss,epoch,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,val_loss,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss,test_avg_qa_bert_score
1.5909239053726196,0,9,,,,,,,,,,
1.2966220378875732,0,19,,,,,,,,,,
1.1250461339950562,0,29,,,,,,,,,,
0.7137213945388794,0,39,,,,,,,,,,
0.6061000823974609,0,49,,,,,,,,,,
0.7410837411880493,0,59,,,,,,,,,,
,0,60,0.2239382266998291,0.8108808994293213,0.2754417359828949,0.30655544996261597,0.41685187816619873,,,,,
0.5847808718681335,1,69,,,,,,,,,,
0.5042724609375,1,79,,,,,,,,,,
0.608831524848938,1,89,,,,,,,,,,
0.310409814119339,1,99,,,,,,,,,,
0.5163570642471313,1,109,,,,,,,,,,
0.5109391808509827,1,119,,,,,,,,,,
,1,121,0.29729729890823364,0.8269051313400269,0.3374077379703522,0.37700948119163513,0.3478459417819977,,,,,
0.38836780190467834,2,129,,,,,,,,,,
0.6731584668159485,2,139,,,,,,,,,,
0.38110116124153137,2,149,,,,,,,,,,
0.46078988909721375,2,159,,,,,,,,,,
0.4205435514450073,2,169,,,,,,,,,,
0.44199758768081665,2,179,,,,,,,,,,
,2,182,0.31660231947898865,0.8328978419303894,0.3485790193080902,0.39289894700050354,0.32858285307884216,,,,,
0.49412646889686584,3,189,,,,,,,,,,
0.30366477370262146,3,199,,,,,,,,,,
0.26827487349510193,3,209,,,,,,,,,,
0.4211987555027008,3,219,,,,,,,,,,
0.32671940326690674,3,229,,,,,,,,,,
0.3198135197162628,3,239,,,,,,,,,,
,3,243,0.35521236062049866,0.8474969863891602,0.39482128620147705,0.42077162861824036,0.31482434272766113,,,,,
0.3730472922325134,4,249,,,,,,,,,,
0.34889939427375793,4,259,,,,,,,,,,
0.3538677394390106,4,269,,,,,,,,,,
0.2968443036079407,4,279,,,,,,,,,,
0.3118542432785034,4,289,,,,,,,,,,
0.26395943760871887,4,299,,,,,,,,,,
,4,304,0.3667953610420227,0.850853443145752,0.4075300693511963,0.43907392024993896,0.3078780472278595,,,,,
,5,305,,,,,,0.43907392024993896,0.3667953610420227,0.4075300693511963,0.3078780472278595,0.850853443145752
