epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,1.386980414390564,9,,,,,,,,,,
0,2.866861343383789,19,,,,,,,,,,
0,1.5761160850524902,29,,,,,,,,,,
0,2.1231849193573,39,,,,,,,,,,
0,,48,0.4886207580566406,0.826644241809845,0.2870813310146332,0.46513134241104126,1.9319475889205933,,,,,
1,1.0215888023376465,49,,,,,,,,,,
1,1.3932380676269531,59,,,,,,,,,,
1,1.4814363718032837,69,,,,,,,,,,
1,2.083786725997925,79,,,,,,,,,,
1,1.3332797288894653,89,,,,,,,,,,
1,,97,0.5121977925300598,0.8383176922798157,0.339712917804718,0.49786850810050964,1.7377839088439941,,,,,
2,1.5440064668655396,99,,,,,,,,,,
2,0.5791682004928589,109,,,,,,,,,,
2,1.4653245210647583,119,,,,,,,,,,
2,1.2656632661819458,129,,,,,,,,,,
2,6.232877731323242,139,,,,,,,,,,
2,,146,0.528502881526947,0.8425535559654236,0.35406699776649475,0.5174505710601807,1.6690102815628052,,,,,
3,2.0135014057159424,149,,,,,,,,,,
3,1.1904228925704956,159,,,,,,,,,,
3,0.8832042217254639,169,,,,,,,,,,
3,0.8972420692443848,179,,,,,,,,,,
3,0.7759172916412354,189,,,,,,,,,,
3,,195,0.5346587300300598,0.8451634049415588,0.3636363744735718,0.5172341465950012,1.6237592697143555,,,,,
4,1.2499808073043823,199,,,,,,,,,,
4,0.9323685169219971,209,,,,,,,,,,
4,0.9178977608680725,219,,,,,,,,,,
4,1.6552163362503052,229,,,,,,,,,,
4,0.6325149536132812,239,,,,,,,,,,
4,,244,0.5223105549812317,0.8467725515365601,0.3732057511806488,0.5157497525215149,1.5952948331832886,,,,,
5,,245,,,,,,0.35406699776649475,0.8425535559654236,0.5174505710601807,0.528502881526947,1.6690102815628052
