train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
0.8853041529655457,0,9,,,,,,,,,,
3.0996758937835693,0,19,,,,,,,,,,
1.698197364807129,0,29,,,,,,,,,,
1.508660912513733,0,39,,,,,,,,,,
1.5399998426437378,0,49,,,,,,,,,,
,0,49,1.442009687423706,0.2882061302661896,0.07500000298023224,0.8001471757888794,0.3900716006755829,,,,,
0.5801965594291687,1,59,,,,,,,,,,
0.8188287019729614,1,69,,,,,,,,,,
1.5312631130218506,1,79,,,,,,,,,,
1.3521738052368164,1,89,,,,,,,,,,
0.7859805226325989,1,99,,,,,,,,,,
,1,99,1.3900721073150635,0.3261517584323883,0.09583333134651184,0.8106111884117126,0.4231526553630829,,,,,
0.5634861588478088,2,109,,,,,,,,,,
0.8152740597724915,2,119,,,,,,,,,,
0.39335131645202637,2,129,,,,,,,,,,
1.6765333414077759,2,139,,,,,,,,,,
0.9893782138824463,2,149,,,,,,,,,,
,2,149,1.3389801979064941,0.3303487002849579,0.09583333134651184,0.8140336275100708,0.4332519471645355,,,,,
0.8161965608596802,3,159,,,,,,,,,,
0.37240082025527954,3,169,,,,,,,,,,
1.3218566179275513,3,179,,,,,,,,,,
1.032562255859375,3,189,,,,,,,,,,
0.8464277386665344,3,199,,,,,,,,,,
,3,199,1.3268190622329712,0.35410061478614807,0.09166666865348816,0.8203109502792358,0.4575358033180237,,,,,
1.2260740995407104,4,209,,,,,,,,,,
0.789114236831665,4,219,,,,,,,,,,
0.706771194934845,4,229,,,,,,,,,,
0.8965423703193665,4,239,,,,,,,,,,
0.6384477615356445,4,249,,,,,,,,,,
,4,249,1.2997567653656006,0.3668190836906433,0.10000000149011612,0.8241804242134094,0.4720703065395355,,,,,
,5,250,,,,,,0.4720703065395355,1.2997567653656006,0.10000000149011612,0.8241804242134094,0.3668190836906433
