epoch,train_loss,step,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,2.3366479873657227,9,,,,,,,,,,
0,0.8618478775024414,19,,,,,,,,,,
0,0.7446426153182983,29,,,,,,,,,,
0,0.7206622362136841,39,,,,,,,,,,
0,0.8705711960792542,49,,,,,,,,,,
0,0.8875031471252441,59,,,,,,,,,,
0,,62,0.23245614767074585,0.4388388693332672,0.801611065864563,0.28256502747535706,0.3285861015319824,,,,,
1,0.43476778268814087,69,,,,,,,,,,
1,0.3177369236946106,79,,,,,,,,,,
1,0.5106915831565857,89,,,,,,,,,,
1,0.5110120177268982,99,,,,,,,,,,
1,0.6713963150978088,109,,,,,,,,,,
1,0.40941092371940613,119,,,,,,,,,,
1,,125,0.28947368264198303,0.3775005340576172,0.8220803737640381,0.3294053077697754,0.3802746534347534,,,,,
2,0.4255107641220093,129,,,,,,,,,,
2,0.47249072790145874,139,,,,,,,,,,
2,0.478604793548584,149,,,,,,,,,,
2,0.4685707688331604,159,,,,,,,,,,
2,0.33833473920822144,169,,,,,,,,,,
2,0.2770037055015564,179,,,,,,,,,,
2,,188,0.30263158679008484,0.34480106830596924,0.8232854604721069,0.3339921236038208,0.3828077018260956,,,,,
3,0.5645085573196411,189,,,,,,,,,,
3,0.3695521056652069,199,,,,,,,,,,
3,0.4815104901790619,209,,,,,,,,,,
3,0.379141628742218,219,,,,,,,,,,
3,0.4314444363117218,229,,,,,,,,,,
3,0.4066007733345032,239,,,,,,,,,,
3,0.46099260449409485,249,,,,,,,,,,
3,,251,0.32894736528396606,0.33388078212738037,0.8305110931396484,0.3610038161277771,0.4039103388786316,,,,,
4,0.3666791617870331,259,,,,,,,,,,
4,0.28427591919898987,269,,,,,,,,,,
4,0.33681151270866394,279,,,,,,,,,,
4,0.3229120671749115,289,,,,,,,,,,
4,0.25913992524147034,299,,,,,,,,,,
4,0.3888567090034485,309,,,,,,,,,,
4,,314,0.36403509974479675,0.3163961172103882,0.8392167687416077,0.3959128260612488,0.4367663264274597,,,,,
5,,315,,,,,,0.3959128260612488,0.8392167687416077,0.36403509974479675,0.3163961172103882,0.4367663264274597
