train_loss,step,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.2322138547897339,9,0,,,,,,,,,,
1.2703601121902466,19,0,,,,,,,,,,
0.862869143486023,29,0,,,,,,,,,,
0.6762903928756714,39,0,,,,,,,,,,
,40,0,0.7817487120628357,0.5163043141365051,0.247894287109375,0.2753435969352722,0.17222222685813904,,,,,
0.6791603565216064,49,1,,,,,,,,,,
0.4206640124320984,59,1,,,,,,,,,,
0.6863383650779724,69,1,,,,,,,,,,
0.526753306388855,79,1,,,,,,,,,,
,81,1,0.8301913142204285,0.39057567715644836,0.3904317319393158,0.42725566029548645,0.3444444537162781,,,,,
0.2835954427719116,89,2,,,,,,,,,,
0.5014517307281494,99,2,,,,,,,,,,
0.31706807017326355,109,2,,,,,,,,,,
0.34865355491638184,119,2,,,,,,,,,,
,122,2,0.8630198836326599,0.3370159864425659,0.4699605405330658,0.4802466928958893,0.4000000059604645,,,,,
0.47025999426841736,129,3,,,,,,,,,,
0.4722655713558197,139,3,,,,,,,,,,
0.3999408781528473,149,3,,,,,,,,,,
0.3290788233280182,159,3,,,,,,,,,,
,163,3,0.8691331744194031,0.3163466453552246,0.49505615234375,0.5004693269729614,0.4277777671813965,,,,,
0.3749949634075165,169,4,,,,,,,,,,
0.26322194933891296,179,4,,,,,,,,,,
0.38567405939102173,189,4,,,,,,,,,,
0.37362489104270935,199,4,,,,,,,,,,
,204,4,0.8708851933479309,0.29782867431640625,0.5005391240119934,0.5229694247245789,0.4611110985279083,,,,,
,205,5,,,,,,0.29782867431640625,0.4611110985279083,0.5005391240119934,0.8708851933479309,0.5229694247245789
