step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
9,1.3006850481033325,0,,,,,,
19,0.6730964183807373,0,,,,,,
29,0.3834744095802307,0,,,,,,
39,0.487275630235672,0,,,,,,
49,0.3755510747432709,0,,,,,,
59,0.43769553303718567,0,,,,,,
69,0.3217872381210327,0,,,,,,
79,0.30040737986564636,0,,,,,,
82,,0,0.20370370149612427,0.2600516378879547,0.2966734766960144,0.7853794693946838,0.09578869491815567,
89,0.13114503026008606,1,,,,,,
99,0.374796986579895,1,,,,,,
109,0.18727092444896698,1,,,,,,
119,0.24883194267749786,1,,,,,,
129,0.1856060028076172,1,,,,,,
139,0.3459728956222534,1,,,,,,
149,0.24613316357135773,1,,,,,,
159,0.1883702427148819,1,,,,,,
165,,1,0.3024691343307495,0.3447703719139099,0.3576048016548157,0.8086326122283936,0.08129153400659561,
169,0.18317221105098724,2,,,,,,
179,0.12970727682113647,2,,,,,,
189,0.172146275639534,2,,,,,,
199,0.2175387144088745,2,,,,,,
209,0.0672864243388176,2,,,,,,
219,0.07504382729530334,2,,,,,,
229,0.14191406965255737,2,,,,,,
239,0.1526115983724594,2,,,,,,
248,,2,0.32098764181137085,0.36724579334259033,0.36318325996398926,0.8111517429351807,0.07827996462583542,
249,0.14403769373893738,3,,,,,,
259,0.09297378361225128,3,,,,,,
269,0.2126862108707428,3,,,,,,
279,0.054463256150484085,3,,,,,,
289,0.09291575103998184,3,,,,,,
299,0.15943248569965363,3,,,,,,
309,0.04521121457219124,3,,,,,,
319,0.046479858458042145,3,,,,,,
329,0.10856367647647858,3,,,,,,
331,,3,0.3580246865749359,0.4093199372291565,0.3978535234928131,0.8261829018592834,0.07658214122056961,
339,0.044648427516222,4,,,,,,
349,0.07913263887166977,4,,,,,,
359,0.08812105655670166,4,,,,,,
369,0.04612734541296959,4,,,,,,
379,0.09253334254026413,4,,,,,,
389,0.08045712858438492,4,,,,,,
399,0.0705348402261734,4,,,,,,
409,0.08432980626821518,4,,,,,,
414,,4,0.35185185074806213,0.39865776896476746,0.39375007152557373,0.8236384391784668,0.07960192859172821,
415,,5,,,,,,0.07658214122056961
