train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
1.355804681777954,0,9,,,,,,,,,,
1.1909046173095703,0,19,,,,,,,,,,
0.9799968600273132,0,29,,,,,,,,,,
0.8660725355148315,0,39,,,,,,,,,,
,0,41,0.7884773015975952,0.3066302537918091,0.20886075496673584,0.5280213952064514,0.29002684354782104,,,,,
0.5486396551132202,1,49,,,,,,,,,,
0.6001623272895813,1,59,,,,,,,,,,
0.4502270519733429,1,69,,,,,,,,,,
0.5199195742607117,1,79,,,,,,,,,,
,1,83,0.8393403887748718,0.4473300874233246,0.39240506291389465,0.40259042382240295,0.4259277284145355,,,,,
0.3729221522808075,2,89,,,,,,,,,,
0.29756641387939453,2,99,,,,,,,,,,
0.49548253417015076,2,109,,,,,,,,,,
0.3683042526245117,2,119,,,,,,,,,,
,2,125,0.8394027948379517,0.4522538483142853,0.40506330132484436,0.3844824433326721,0.43133544921875,,,,,
0.37725013494491577,3,129,,,,,,,,,,
0.5587776899337769,3,139,,,,,,,,,,
0.4318416118621826,3,149,,,,,,,,,,
0.31656914949417114,3,159,,,,,,,,,,
,3,167,0.8407678604125977,0.44309547543525696,0.37974682450294495,0.3651420772075653,0.4197998046875,,,,,
0.37196865677833557,4,169,,,,,,,,,,
0.3672018349170685,4,179,,,,,,,,,,
0.3951823115348816,4,189,,,,,,,,,,
0.3583173155784607,4,199,,,,,,,,,,
0.4770941436290741,4,209,,,,,,,,,,
,4,209,0.8487316966056824,0.46699658036231995,0.4113923907279968,0.35747799277305603,0.443115234375,,,,,
,5,210,,,,,,0.46699658036231995,0.4113923907279968,0.35747799277305603,0.8487316966056824,0.443115234375
