train_loss,step,epoch,val_qa_sas,val_qa_bert_score,val_loss,val_qa_answer_f1,val_qa_em,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
1.5827568769454956,9,0,,,,,,,,,,
1.2903817892074585,19,0,,,,,,,,,,
1.6199843883514404,29,0,,,,,,,,,,
1.4555022716522217,39,0,,,,,,,,,,
1.0483055114746094,49,0,,,,,,,,,,
,51,0,0.5875941514968872,0.8690000772476196,0.6751288771629333,0.5060485005378723,0.2638888955116272,,,,,
2.056704521179199,59,1,,,,,,,,,,
1.30716073513031,69,1,,,,,,,,,,
1.7015023231506348,79,1,,,,,,,,,,
1.1538795232772827,89,1,,,,,,,,,,
0.6639590859413147,99,1,,,,,,,,,,
,103,1,0.5970807671546936,0.8699890375137329,0.6400914192199707,0.5091263055801392,0.25925925374031067,,,,,
1.0117192268371582,109,2,,,,,,,,,,
0.8597156405448914,119,2,,,,,,,,,,
1.297757863998413,129,2,,,,,,,,,,
1.623103141784668,139,2,,,,,,,,,,
0.6044310927391052,149,2,,,,,,,,,,
,155,2,0.6258370280265808,0.8784541487693787,0.6271634101867676,0.5366789102554321,0.2777777910232544,,,,,
0.7622750401496887,159,3,,,,,,,,,,
0.8931279182434082,169,3,,,,,,,,,,
0.7501957416534424,179,3,,,,,,,,,,
0.9932063817977905,189,3,,,,,,,,,,
1.1907044649124146,199,3,,,,,,,,,,
,207,3,0.6313999891281128,0.8810795545578003,0.6128783226013184,0.5471121668815613,0.30092594027519226,,,,,
1.527510404586792,209,4,,,,,,,,,,
0.9802746176719666,219,4,,,,,,,,,,
0.7946429252624512,229,4,,,,,,,,,,
0.9414631724357605,239,4,,,,,,,,,,
1.2381131649017334,249,4,,,,,,,,,,
0.1425885260105133,259,4,,,,,,,,,,
,259,4,0.6241106390953064,0.8806577324867249,0.6091420650482178,0.549612283706665,0.2916666567325592,,,,,
,260,5,,,,,,0.2916666567325592,0.549612283706665,0.6091420650482178,0.8806577324867249,0.6241106390953064
