train_loss,step,epoch,val_qa_sas,val_qa_bert_score,val_loss,val_qa_answer_f1,val_qa_em,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
0.7657292485237122,9,0,,,,,,,,,,
1.0436147451400757,19,0,,,,,,,,,,
1.2019621133804321,29,0,,,,,,,,,,
0.9742351770401001,39,0,,,,,,,,,,
1.0450721979141235,49,0,,,,,,,,,,
,52,0,0.5255221128463745,0.8411570191383362,1.150201439857483,0.4145944118499756,0.21287128329277039,,,,,
1.4138160943984985,59,1,,,,,,,,,,
1.6093801259994507,69,1,,,,,,,,,,
1.4474411010742188,79,1,,,,,,,,,,
0.7287662625312805,89,1,,,,,,,,,,
0.9813599586486816,99,1,,,,,,,,,,
,105,1,0.5210524201393127,0.8382472395896912,1.1283103227615356,0.40185078978538513,0.20792078971862793,,,,,
1.622050404548645,109,2,,,,,,,,,,
0.5379809141159058,119,2,,,,,,,,,,
0.9398226737976074,129,2,,,,,,,,,,
1.0712932348251343,139,2,,,,,,,,,,
0.7137765288352966,149,2,,,,,,,,,,
,158,2,0.5141789317131042,0.8375734686851501,1.1046868562698364,0.3988402783870697,0.19801980257034302,,,,,
1.4353324174880981,159,3,,,,,,,,,,
0.9149221777915955,169,3,,,,,,,,,,
1.0267069339752197,179,3,,,,,,,,,,
1.0327218770980835,189,3,,,,,,,,,,
0.8010958433151245,199,3,,,,,,,,,,
1.3002351522445679,209,3,,,,,,,,,,
,211,3,0.5120567679405212,0.8370140790939331,1.0989125967025757,0.4018998444080353,0.19801980257034302,,,,,
1.543611764907837,219,4,,,,,,,,,,
0.7672997117042542,229,4,,,,,,,,,,
0.48512232303619385,239,4,,,,,,,,,,
0.7853718996047974,249,4,,,,,,,,,,
1.356480598449707,259,4,,,,,,,,,,
,264,4,0.500413179397583,0.8338860869407654,1.0880500078201294,0.39476364850997925,0.1782178282737732,,,,,
,265,5,,,,,,0.1782178282737732,0.39476364850997925,1.0880500078201294,0.8338860869407654,0.500413179397583
