train_loss,step,epoch,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
2.9916229248046875,9,0,,,,,,,,,,
1.8839452266693115,19,0,,,,,,,,,,
1.295479655265808,29,0,,,,,,,,,,
1.639111042022705,39,0,,,,,,,,,,
1.9958882331848145,49,0,,,,,,,,,,
,49,0,0.39024388790130615,0.5528869032859802,1.8030165433883667,0.8639355897903442,0.5767974853515625,,,,,
1.4414875507354736,59,1,,,,,,,,,,
1.1667407751083374,69,1,,,,,,,,,,
1.3004896640777588,79,1,,,,,,,,,,
1.9453699588775635,89,1,,,,,,,,,,
2.1577847003936768,99,1,,,,,,,,,,
,99,1,0.41056910157203674,0.5575968027114868,1.6598613262176514,0.8723311424255371,0.5919952392578125,,,,,
1.5159376859664917,109,2,,,,,,,,,,
1.180174469947815,119,2,,,,,,,,,,
0.8247514963150024,129,2,,,,,,,,,,
0.8997532725334167,139,2,,,,,,,,,,
1.030268907546997,149,2,,,,,,,,,,
,149,2,0.40243902802467346,0.5535597205162048,1.632034182548523,0.8703314065933228,0.5855712890625,,,,,
1.9873162508010864,159,3,,,,,,,,,,
1.5332585573196411,169,3,,,,,,,,,,
1.1992099285125732,179,3,,,,,,,,,,
1.2478612661361694,189,3,,,,,,,,,,
2.0107600688934326,199,3,,,,,,,,,,
,199,3,0.3943089544773102,0.5458093285560608,1.5912325382232666,0.8696656227111816,0.5836181640625,,,,,
1.013298511505127,209,4,,,,,,,,,,
1.5474932193756104,219,4,,,,,,,,,,
1.4080618619918823,229,4,,,,,,,,,,
0.9182212352752686,239,4,,,,,,,,,,
1.2272028923034668,249,4,,,,,,,,,,
,249,4,0.3983739912509918,0.5498290061950684,1.5811611413955688,0.8715499043464661,0.585479736328125,,,,,
,250,5,,,,,,0.8715499043464661,1.5811611413955688,0.5498290061950684,0.585479736328125,0.3983739912509918
