epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
0,3.4269111156463623,9,,,,,,,,,,
0,2.5450289249420166,19,,,,,,,,,,
0,1.7586127519607544,29,,,,,,,,,,
0,2.2589070796966553,39,,,,,,,,,,
0,1.5173039436340332,49,,,,,,,,,,
0,,52,0.2834266424179077,1.8920481204986572,0.7755671739578247,0.312103271484375,0.18589743971824646,,,,,
1,2.0717432498931885,59,,,,,,,,,,
1,0.9969221949577332,69,,,,,,,,,,
1,10.435904502868652,79,,,,,,,,,,
1,2.5157711505889893,89,,,,,,,,,,
1,1.3539891242980957,99,,,,,,,,,,
1,,105,0.3672844469547272,1.5832680463790894,0.8094537854194641,0.3788513243198395,0.30128204822540283,,,,,
2,1.6802178621292114,109,,,,,,,,,,
2,2.05562686920166,119,,,,,,,,,,
2,2.1658098697662354,129,,,,,,,,,,
2,0.9309492707252502,139,,,,,,,,,,
2,1.6357067823410034,149,,,,,,,,,,
2,,158,0.4186636507511139,1.4283652305603027,0.8370059728622437,0.44036865234375,0.3589743673801422,,,,,
3,1.8362441062927246,159,,,,,,,,,,
3,1.4783798456192017,169,,,,,,,,,,
3,1.384943962097168,179,,,,,,,,,,
3,1.8498198986053467,189,,,,,,,,,,
3,1.8633863925933838,199,,,,,,,,,,
3,1.1448898315429688,209,,,,,,,,,,
3,,211,0.45263803005218506,1.3668112754821777,0.849331259727478,0.4774536192417145,0.38461539149284363,,,,,
4,1.1609169244766235,219,,,,,,,,,,
4,1.805516242980957,229,,,,,,,,,,
4,1.4314287900924683,239,,,,,,,,,,
4,0.7331457138061523,249,,,,,,,,,,
4,1.0282611846923828,259,,,,,,,,,,
4,,264,0.4443046748638153,1.3523162603378296,0.8440712690353394,0.46458739042282104,0.3782051205635071,,,,,
5,,265,,,,,,0.45263803005218506,0.849331259727478,1.3668112754821777,0.4774536192417145,0.38461539149284363
