train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
1.5610289573669434,9,0,,,,,,,,,,
1.0614039897918701,19,0,,,,,,,,,,
0.9716598391532898,29,0,,,,,,,,,,
0.8619768619537354,39,0,,,,,,,,,,
,41,0,0.27469325065612793,0.5765014886856079,0.2578125,0.18987341225147247,0.7822948694229126,,,,,
0.5895514488220215,49,1,,,,,,,,,,
0.5598359704017639,59,1,,,,,,,,,,
0.5757488012313843,69,1,,,,,,,,,,
0.6224076151847839,79,1,,,,,,,,,,
,83,1,0.36511877179145813,0.4487096965312958,0.33897703886032104,0.2721518874168396,0.8080363273620605,,,,,
0.40795865654945374,89,2,,,,,,,,,,
0.4937109351158142,99,2,,,,,,,,,,
0.42507681250572205,109,2,,,,,,,,,,
0.40885505080223083,119,2,,,,,,,,,,
,125,2,0.3951131999492645,0.40183117985725403,0.3697509765625,0.3037974536418915,0.821168065071106,,,,,
0.4026952385902405,129,3,,,,,,,,,,
0.5163552165031433,139,3,,,,,,,,,,
0.5195425152778625,149,3,,,,,,,,,,
0.4080434739589691,159,3,,,,,,,,,,
,167,3,0.3840440809726715,0.4084613621234894,0.35589599609375,0.29113924503326416,0.817097544670105,,,,,
0.39573559165000916,169,4,,,,,,,,,,
0.3098224103450775,179,4,,,,,,,,,,
0.4343573749065399,189,4,,,,,,,,,,
0.319041907787323,199,4,,,,,,,,,,
0.26724860072135925,209,4,,,,,,,,,,
,209,4,0.4222206473350525,0.37679073214530945,0.39592283964157104,0.34810125827789307,0.8324781656265259,,,,,
,210,5,,,,,,0.37679073214530945,0.39592283964157104,0.4222206473350525,0.34810125827789307,0.8324781656265259
