train_loss,step,epoch,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
2.057905912399292,9,0,,,,,,,,,,
1.1871055364608765,19,0,,,,,,,,,,
0.8087977766990662,29,0,,,,,,,,,,
2.0084068775177,39,0,,,,,,,,,,
1.9729043245315552,49,0,,,,,,,,,,
,50,0,0.2869565188884735,0.5025542378425598,1.8591405153274536,0.8468963503837585,0.5533284544944763,,,,,
1.361914873123169,59,1,,,,,,,,,,
1.469147801399231,69,1,,,,,,,,,,
1.1967839002609253,79,1,,,,,,,,,,
1.1125643253326416,89,1,,,,,,,,,,
1.2141084671020508,99,1,,,,,,,,,,
,101,1,0.32608696818351746,0.5090218186378479,1.6724556684494019,0.8549786806106567,0.5634358525276184,,,,,
1.337141990661621,109,2,,,,,,,,,,
0.7715421915054321,119,2,,,,,,,,,,
1.148710012435913,129,2,,,,,,,,,,
1.3471940755844116,139,2,,,,,,,,,,
1.0791815519332886,149,2,,,,,,,,,,
,152,2,0.36086955666542053,0.5194739103317261,1.5976111888885498,0.8611631989479065,0.5775553584098816,,,,,
1.2034828662872314,159,3,,,,,,,,,,
0.8412109017372131,169,3,,,,,,,,,,
0.9464936852455139,179,3,,,,,,,,,,
1.0101425647735596,189,3,,,,,,,,,,
0.937765896320343,199,3,,,,,,,,,,
,203,3,0.38260868191719055,0.542733907699585,1.5331370830535889,0.8675305843353271,0.5903483033180237,,,,,
1.2729384899139404,209,4,,,,,,,,,,
0.9383167624473572,219,4,,,,,,,,,,
1.1775132417678833,229,4,,,,,,,,,,
1.2490042448043823,239,4,,,,,,,,,,
0.9659667015075684,249,4,,,,,,,,,,
,254,4,0.37826088070869446,0.5392971038818359,1.5227208137512207,0.8638725280761719,0.5749674439430237,,,,,
,255,5,,,,,,0.8638725280761719,1.5227208137512207,0.5392971038818359,0.5749674439430237,0.37826088070869446
