step,train_loss,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_em,val_qa_answer_f1,test_loss
9,1.3576302528381348,0,,,,,,
19,0.6867448687553406,0,,,,,,
29,0.7762346863746643,0,,,,,,
39,0.4565306603908539,0,,,,,,
49,0.37628379464149475,0,,,,,,
59,0.25873491168022156,0,,,,,,
69,0.38415831327438354,0,,,,,,
79,0.4787634313106537,0,,,,,,
81,,0,0.7885323762893677,0.11708217859268188,0.2806074917316437,0.19767442345619202,0.28812265396118164,
89,0.2987290322780609,1,,,,,,
99,0.2710341513156891,1,,,,,,
109,0.2921353876590729,1,,,,,,
119,0.3525330722332001,1,,,,,,
129,0.1714107245206833,1,,,,,,
139,0.2012852132320404,1,,,,,,
149,0.22070318460464478,1,,,,,,
159,0.3053286373615265,1,,,,,,
163,,1,0.7955389022827148,0.08975677192211151,0.2915717661380768,0.2383720874786377,0.314792275428772,
169,0.1237674206495285,2,,,,,,
179,0.19523218274116516,2,,,,,,
189,0.14642247557640076,2,,,,,,
199,0.15227389335632324,2,,,,,,
209,0.10203029960393906,2,,,,,,
219,0.12303738296031952,2,,,,,,
229,0.22101342678070068,2,,,,,,
239,0.14495648443698883,2,,,,,,
245,,2,0.7999275922775269,0.0836726725101471,0.2938117980957031,0.24418604373931885,0.32329612970352173,
249,0.09987480938434601,3,,,,,,
259,0.2121727466583252,3,,,,,,
269,0.2713708281517029,3,,,,,,
279,0.26383042335510254,3,,,,,,
289,0.1811748445034027,3,,,,,,
299,0.08738765120506287,3,,,,,,
309,0.09870977699756622,3,,,,,,
319,0.17556215822696686,3,,,,,,
327,,3,0.8119528293609619,0.0824776142835617,0.316912442445755,0.2732558250427246,0.3583920896053314,
329,0.08837936818599701,4,,,,,,
339,0.17525209486484528,4,,,,,,
349,0.1617819368839264,4,,,,,,
359,0.09256693720817566,4,,,,,,
369,0.1251433938741684,4,,,,,,
379,0.10439141094684601,4,,,,,,
389,0.09862212091684341,4,,,,,,
399,0.10112878680229187,4,,,,,,
409,0.08403804898262024,4,,,,,,
409,,4,0.802715539932251,0.08320502191781998,0.3078840970993042,0.25581395626068115,0.3386249244213104,
410,,5,,,,,,0.0824776142835617
