train_loss,step,epoch,val_qa_em,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em
1.9397987127304077,9,0,,,,,,,,,,
1.0276316404342651,19,0,,,,,,,,,,
1.3786951303482056,29,0,,,,,,,,,,
1.1916565895080566,39,0,,,,,,,,,,
1.9633488655090332,49,0,,,,,,,,,,
,53,0,0.3027026951313019,0.4877168536186218,1.4967423677444458,0.8411532044410706,0.5277099609375,,,,,
1.6852835416793823,59,1,,,,,,,,,,
1.2165323495864868,69,1,,,,,,,,,,
2.045900344848633,79,1,,,,,,,,,,
1.8719562292099,89,1,,,,,,,,,,
1.4815807342529297,99,1,,,,,,,,,,
,107,1,0.3405405282974243,0.5153117179870605,1.3365064859390259,0.8515627384185791,0.5531819462776184,,,,,
1.7209908962249756,109,2,,,,,,,,,,
1.6508057117462158,119,2,,,,,,,,,,
0.7161953449249268,129,2,,,,,,,,,,
7.067668914794922,139,2,,,,,,,,,,
1.2418007850646973,149,2,,,,,,,,,,
0.8844903111457825,159,2,,,,,,,,,,
,161,2,0.3675675690174103,0.5365893244743347,1.2748594284057617,0.8593661189079285,0.5657958984375,,,,,
1.0415194034576416,169,3,,,,,,,,,,
4.378634452819824,179,3,,,,,,,,,,
1.0162906646728516,189,3,,,,,,,,,,
1.3495678901672363,199,3,,,,,,,,,,
1.0235133171081543,209,3,,,,,,,,,,
,215,3,0.37837839126586914,0.5466794371604919,1.213193655014038,0.8644044995307922,0.5795084834098816,,,,,
0.5707888007164001,219,4,,,,,,,,,,
0.8075605034828186,229,4,,,,,,,,,,
1.0429173707962036,239,4,,,,,,,,,,
0.47377410531044006,249,4,,,,,,,,,,
2.962315559387207,259,4,,,,,,,,,,
1.0573570728302002,269,4,,,,,,,,,,
,269,4,0.3891891837120056,0.5440410375595093,1.1904865503311157,0.8690534234046936,0.57830810546875,,,,,
,270,5,,,,,,0.8690534234046936,1.1904865503311157,0.5440410375595093,0.57830810546875,0.3891891837120056
