step,train_loss,epoch,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
9,1.6232246160507202,0,,,,,,,,,,
19,1.362644910812378,0,,,,,,,,,,
29,0.8351259231567383,0,,,,,,,,,,
39,1.0530024766921997,0,,,,,,,,,,
40,,0,0.6298801302909851,0.21355324983596802,0.11046511679887772,0.7643473148345947,0.17781759798526764,,,,,
49,0.8558107614517212,1,,,,,,,,,,
59,0.5602377653121948,1,,,,,,,,,,
69,0.46652108430862427,1,,,,,,,,,,
79,0.4594939053058624,1,,,,,,,,,,
81,,1,0.49418747425079346,0.30794036388397217,0.22093023359775543,0.7991005182266235,0.26629638671875,,,,,
89,0.3522675037384033,2,,,,,,,,,,
99,0.4024476408958435,2,,,,,,,,,,
109,0.407803475856781,2,,,,,,,,,,
119,0.421588659286499,2,,,,,,,,,,
122,,2,0.4386822581291199,0.34389904141426086,0.2616279125213623,0.8140531182289124,0.30063697695732117,,,,,
129,0.5370329022407532,3,,,,,,,,,,
139,0.34477025270462036,3,,,,,,,,,,
149,0.2704675793647766,3,,,,,,,,,,
159,0.19180570542812347,3,,,,,,,,,,
163,,3,0.40596064925193787,0.3891661465167999,0.31976744532585144,0.8187673687934875,0.34591397643089294,,,,,
169,0.5640810132026672,4,,,,,,,,,,
179,0.33743810653686523,4,,,,,,,,,,
189,0.26777172088623047,4,,,,,,,,,,
199,0.2128925919532776,4,,,,,,,,,,
204,,4,0.3840620815753937,0.4105015695095062,0.3372093141078949,0.8288593888282776,0.36746492981910706,,,,,
205,,5,,,,,,0.3372093141078949,0.4105015695095062,0.3840620815753937,0.8288593888282776,0.36746492981910706
