train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_bert_score
1.2843672037124634,0,9,,,,,,,,,,
0.9254093170166016,0,19,,,,,,,,,,
0.9581761360168457,0,29,,,,,,,,,,
0.690626323223114,0,39,,,,,,,,,,
0.8064104914665222,0,49,,,,,,,,,,
0.38763660192489624,0,59,,,,,,,,,,
,0,62,0.26431718468666077,0.46818357706069946,0.3251844346523285,0.790566086769104,0.2821389138698578,,,,,
0.5571454763412476,1,69,,,,,,,,,,
0.49664098024368286,1,79,,,,,,,,,,
0.57305908203125,1,89,,,,,,,,,,
0.6819187998771667,1,99,,,,,,,,,,
0.3585118055343628,1,109,,,,,,,,,,
0.33340996503829956,1,119,,,,,,,,,,
,1,125,0.30837005376815796,0.3493722677230835,0.3755088746547699,0.8136621117591858,0.3446999192237854,,,,,
0.4440579414367676,2,129,,,,,,,,,,
0.33249393105506897,2,139,,,,,,,,,,
0.44886916875839233,2,149,,,,,,,,,,
0.2658544182777405,2,159,,,,,,,,,,
0.35390013456344604,2,169,,,,,,,,,,
0.47173166275024414,2,179,,,,,,,,,,
,2,188,0.3788546323776245,0.2987041771411896,0.4525809586048126,0.8353723287582397,0.41002291440963745,,,,,
0.3253016769886017,3,189,,,,,,,,,,
0.3135957717895508,3,199,,,,,,,,,,
0.3496340215206146,3,209,,,,,,,,,,
0.3117351830005646,3,219,,,,,,,,,,
0.19777555763721466,3,229,,,,,,,,,,
0.47763770818710327,3,239,,,,,,,,,,
0.34077587723731995,3,249,,,,,,,,,,
,3,251,0.3876652121543884,0.26891520619392395,0.4562459886074066,0.8337616324424744,0.39540916681289673,,,,,
0.17722342908382416,4,259,,,,,,,,,,
0.12224473804235458,4,269,,,,,,,,,,
0.2636071443557739,4,279,,,,,,,,,,
0.3235158920288086,4,289,,,,,,,,,,
0.26494961977005005,4,299,,,,,,,,,,
0.2896743714809418,4,309,,,,,,,,,,
,4,314,0.458149790763855,0.24691060185432434,0.5205872654914856,0.8620710372924805,0.49293091893196106,,,,,
,5,315,,,,,,0.5205872654914856,0.458149790763855,0.24691060185432434,0.49293091893196106,0.8620710372924805
