step,epoch,train_loss,val_loss,val_qa_em,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_loss
9,0,1.0889536142349243,,,,,,
19,0,0.7924746870994568,,,,,,
29,0,0.48877230286598206,,,,,,
39,0,0.9080254435539246,,,,,,
49,0,0.39461055397987366,,,,,,
59,0,0.32045304775238037,,,,,,
69,0,0.33541110157966614,,,,,,
79,0,0.3330226242542267,,,,,,
83,0,,0.08988985419273376,0.19480518996715546,0.2843349575996399,0.25401872396469116,0.7853101491928101,
89,1,0.43998581171035767,,,,,,
99,1,0.4196445643901825,,,,,,
109,1,0.3227894604206085,,,,,,
119,1,0.21476392447948456,,,,,,
129,1,0.26211127638816833,,,,,,
139,1,0.285451740026474,,,,,,
149,1,0.16567544639110565,,,,,,
159,1,0.2951776683330536,,,,,,
167,1,,0.0712139904499054,0.2467532455921173,0.32253003120422363,0.29945120215415955,0.7946956157684326,
169,2,0.18817894160747528,,,,,,
179,2,0.12247266620397568,,,,,,
189,2,0.11349128186702728,,,,,,
199,2,0.19369572401046753,,,,,,
209,2,0.12945960462093353,,,,,,
219,2,0.22331178188323975,,,,,,
229,2,0.19217443466186523,,,,,,
239,2,0.13103890419006348,,,,,,
249,2,0.13105766475200653,,,,,,
251,2,,0.06663516908884048,0.30519479513168335,0.37513044476509094,0.3613559901714325,0.8125483393669128,
259,3,0.0649247094988823,,,,,,
269,3,0.1500980257987976,,,,,,
279,3,0.06453069299459457,,,,,,
289,3,0.11859782040119171,,,,,,
299,3,0.08972974121570587,,,,,,
309,3,0.07804151624441147,,,,,,
319,3,0.0666048675775528,,,,,,
329,3,0.12730447947978973,,,,,,
335,3,,0.06930926442146301,0.30519479513168335,0.37644997239112854,0.3651966154575348,0.8131041526794434,
339,4,0.05048947408795357,,,,,,
349,4,0.07316428422927856,,,,,,
359,4,0.023962272331118584,,,,,,
369,4,0.049394071102142334,,,,,,
379,4,0.08562839776277542,,,,,,
389,4,0.05593527853488922,,,,,,
399,4,0.06035061180591583,,,,,,
409,4,0.0450487956404686,,,,,,
419,4,0.06379889696836472,,,,,,
419,4,,0.07413007318973541,0.33766233921051025,0.3930606544017792,0.3927626609802246,0.8203161954879761,
420,5,,,,,,,0.07413007318973541
