step,train_loss,epoch,val_qa_bert_score,val_qa_em,val_qa_sas,val_loss,val_qa_answer_f1,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
9,1.4546836614608765,0,,,,,,,,,,
19,1.4461809396743774,0,,,,,,,,,,
29,1.163462519645691,0,,,,,,,,,,
39,0.5763925909996033,0,,,,,,,,,,
41,,0,0.8018198013305664,0.20370370149612427,0.31485262513160706,0.49982771277427673,0.27782902121543884,,,,,
49,0.5486029982566833,1,,,,,,,,,,
59,0.3909979462623596,1,,,,,,,,,,
69,0.5645591020584106,1,,,,,,,,,,
79,0.4202362298965454,1,,,,,,,,,,
83,,1,0.8187469840049744,0.2530864179134369,0.35794344544410706,0.3697185516357422,0.323421835899353,,,,,
89,0.6177130341529846,2,,,,,,,,,,
99,0.3631710112094879,2,,,,,,,,,,
109,0.3035449981689453,2,,,,,,,,,,
119,0.42566052079200745,2,,,,,,,,,,
125,,2,0.827667772769928,0.327160507440567,0.4020552337169647,0.3281327188014984,0.38733959197998047,,,,,
129,0.45471128821372986,3,,,,,,,,,,
139,0.40121594071388245,3,,,,,,,,,,
149,0.5669734477996826,3,,,,,,,,,,
159,0.39155927300453186,3,,,,,,,,,,
167,,3,0.8380917906761169,0.3333333432674408,0.42299583554267883,0.30427005887031555,0.39218392968177795,,,,,
169,0.3946453332901001,4,,,,,,,,,,
179,0.38557159900665283,4,,,,,,,,,,
189,0.24867413938045502,4,,,,,,,,,,
199,0.24532856047153473,4,,,,,,,,,,
209,0.3586057126522064,4,,,,,,,,,,
209,,4,0.8330191969871521,0.34567901492118835,0.3954523205757141,0.29998597502708435,0.4015021026134491,,,,,
210,,5,,,,,,0.4015021026134491,0.8330191969871521,0.29998597502708435,0.3954523205757141,0.34567901492118835
