step,train_loss,epoch,val_qa_em,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,test_loss
9,1.1525180339813232,0,,,,,,
19,0.8181412816047668,0,,,,,,
29,0.7797962427139282,0,,,,,,
39,0.5172634124755859,0,,,,,,
49,0.33694905042648315,0,,,,,,
59,0.17984411120414734,0,,,,,,
69,0.27476343512535095,0,,,,,,
79,0.29449307918548584,0,,,,,,
81,,0,0.1744185984134674,0.2816115617752075,0.2791382968425751,0.7867942452430725,0.10807264596223831,
89,0.23422060906887054,1,,,,,,
99,0.2638009786605835,1,,,,,,
109,0.23005257546901703,1,,,,,,
119,0.43316587805747986,1,,,,,,
129,0.2127888947725296,1,,,,,,
139,0.1668243259191513,1,,,,,,
149,0.21054957807064056,1,,,,,,
159,0.27478858828544617,1,,,,,,
163,,1,0.302325576543808,0.3929034471511841,0.3599717617034912,0.8182938098907471,0.08990942686796188,
169,0.1238131895661354,2,,,,,,
179,0.2225380390882492,2,,,,,,
189,0.1683824360370636,2,,,,,,
199,0.12292573601007462,2,,,,,,
209,0.12846730649471283,2,,,,,,
219,0.16008153557777405,2,,,,,,
229,0.16490286588668823,2,,,,,,
239,0.1817779392004013,2,,,,,,
245,,2,0.3372093141078949,0.41982969641685486,0.3768329322338104,0.8265796303749084,0.08601879328489304,
249,0.08890759944915771,3,,,,,,
259,0.11194346845149994,3,,,,,,
269,0.1402081400156021,3,,,,,,
279,0.1559734046459198,3,,,,,,
289,0.11528205871582031,3,,,,,,
299,0.07505515217781067,3,,,,,,
309,0.09392193704843521,3,,,,,,
319,0.09469020366668701,3,,,,,,
327,,3,0.33139535784721375,0.41555750370025635,0.3740348517894745,0.8238546252250671,0.08791080862283707,
329,0.06509246677160263,4,,,,,,
339,0.0936388447880745,4,,,,,,
349,0.08984868973493576,4,,,,,,
359,0.06653697788715363,4,,,,,,
369,0.12440432608127594,4,,,,,,
379,0.09799311310052872,4,,,,,,
389,0.044460318982601166,4,,,,,,
399,0.07175879925489426,4,,,,,,
409,0.06167960539460182,4,,,,,,
409,,4,0.3488371968269348,0.43369728326797485,0.3905285596847534,0.8289113640785217,0.09521768987178802,
410,,5,,,,,,0.09521768987178802
