epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_sas,val_qa_em,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_em
0,3.215203285217285,9,,,,,,,,,,
0,3.345242500305176,19,,,,,,,,,,
0,1.9821715354919434,29,,,,,,,,,,
0,1.8938382863998413,39,,,,,,,,,,
0,1.5782625675201416,49,,,,,,,,,,
0,,51,0.23038677871227264,2.063394546508789,0.7590236663818359,0.2783147692680359,0.13793103396892548,,,,,
1,1.7581391334533691,59,,,,,,,,,,
1,2.044928550720215,69,,,,,,,,,,
1,1.5025840997695923,79,,,,,,,,,,
1,2.091552495956421,89,,,,,,,,,,
1,1.5177972316741943,99,,,,,,,,,,
1,,103,0.3465176224708557,1.779415488243103,0.8033261895179749,0.3971391022205353,0.22413793206214905,,,,,
2,1.449954867362976,109,,,,,,,,,,
2,1.2511165142059326,119,,,,,,,,,,
2,2.357166051864624,129,,,,,,,,,,
2,1.3238282203674316,139,,,,,,,,,,
2,1.7243804931640625,149,,,,,,,,,,
2,,155,0.4419609606266022,1.590053677558899,0.8372929096221924,0.4889470934867859,0.3045977056026459,,,,,
3,1.105790615081787,159,,,,,,,,,,
3,0.9564218521118164,169,,,,,,,,,,
3,0.4485654830932617,179,,,,,,,,,,
3,1.265940546989441,189,,,,,,,,,,
3,1.8449962139129639,199,,,,,,,,,,
3,,207,0.49820399284362793,1.4925744533538818,0.8613975644111633,0.5452325940132141,0.3563218414783478,,,,,
4,0.8140960335731506,209,,,,,,,,,,
4,0.9805658459663391,219,,,,,,,,,,
4,1.082193374633789,229,,,,,,,,,,
4,0.9524432420730591,239,,,,,,,,,,
4,1.0506283044815063,249,,,,,,,,,,
4,1.2083740234375,259,,,,,,,,,,
4,,259,0.5160199999809265,1.4495408535003662,0.8677898645401001,0.5696466565132141,0.37931033968925476,,,,,
5,,260,,,,,,0.5160199999809265,0.8677898645401001,1.4495408535003662,0.5696466565132141,0.37931033968925476
