epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,0.9569525122642517,9,,,,,,,,,,
0,1.234715461730957,19,,,,,,,,,,
0,1.486946702003479,29,,,,,,,,,,
0,1.0336573123931885,39,,,,,,,,,,
0,1.1731922626495361,49,,,,,,,,,,
0,,51,0.38821032643318176,0.5226702094078064,0.8320407867431641,1.2286263704299927,0.13488371670246124,,,,,
1,1.0576279163360596,59,,,,,,,,,,
1,1.163238525390625,69,,,,,,,,,,
1,1.249809980392456,79,,,,,,,,,,
1,1.3336968421936035,89,,,,,,,,,,
1,2.5631046295166016,99,,,,,,,,,,
1,,103,0.4045676589012146,0.5316510796546936,0.8342235684394836,1.176256775856018,0.14418604969978333,,,,,
2,1.593605637550354,109,,,,,,,,,,
2,1.451709270477295,119,,,,,,,,,,
2,0.986518919467926,129,,,,,,,,,,
2,1.3567451238632202,139,,,,,,,,,,
2,1.1959220170974731,149,,,,,,,,,,
2,,155,0.4183191657066345,0.5611397624015808,0.837744414806366,1.144895076751709,0.1860465109348297,,,,,
3,1.2236824035644531,159,,,,,,,,,,
3,1.06576669216156,169,,,,,,,,,,
3,0.7875571846961975,179,,,,,,,,,,
3,1.0758737325668335,189,,,,,,,,,,
3,1.096867561340332,199,,,,,,,,,,
3,,207,0.4393322467803955,0.5790318250656128,0.8446909189224243,1.125065565109253,0.19069766998291016,,,,,
4,1.1602973937988281,209,,,,,,,,,,
4,1.3126145601272583,219,,,,,,,,,,
4,1.0420030355453491,229,,,,,,,,,,
4,0.3719395399093628,239,,,,,,,,,,
4,1.062064290046692,249,,,,,,,,,,
4,0.23432786762714386,259,,,,,,,,,,
4,,259,0.44491544365882874,0.5795549750328064,0.8458493947982788,1.1223417520523071,0.20930232107639313,,,,,
5,,260,,,,,,0.8458493947982788,0.5795549750328064,0.20930232107639313,1.1223417520523071,0.44491544365882874
