epoch,train_loss,step,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,2.3380212783813477,9,,,,,,,,,,
0,1.796046257019043,19,,,,,,,,,,
0,2.2860774993896484,29,,,,,,,,,,
0,1.546604037284851,39,,,,,,,,,,
0,1.1908326148986816,49,,,,,,,,,,
0,,51,0.831028401851654,0.44578418135643005,0.4817006289958954,0.2787610590457916,1.5290076732635498,,,,,
1,1.5474951267242432,59,,,,,,,,,,
1,1.8688690662384033,69,,,,,,,,,,
1,1.217280387878418,79,,,,,,,,,,
1,1.3143097162246704,89,,,,,,,,,,
1,1.5048651695251465,99,,,,,,,,,,
1,,103,0.8444167375564575,0.4893565773963928,0.5089858770370483,0.33185839653015137,1.3675707578659058,,,,,
2,1.9664406776428223,109,,,,,,,,,,
2,1.5228264331817627,119,,,,,,,,,,
2,0.9126076102256775,129,,,,,,,,,,
2,1.7594914436340332,139,,,,,,,,,,
2,0.9858327507972717,149,,,,,,,,,,
2,,155,0.8615733981132507,0.5165792107582092,0.5363382697105408,0.37168142199516296,1.288183569908142,,,,,
3,1.7285194396972656,159,,,,,,,,,,
3,1.351804494857788,169,,,,,,,,,,
3,0.7241408824920654,179,,,,,,,,,,
3,0.6190969347953796,189,,,,,,,,,,
3,0.8370092511177063,199,,,,,,,,,,
3,,207,0.8575096726417542,0.49306583404541016,0.510540783405304,0.35840708017349243,1.2631845474243164,,,,,
4,1.2286545038223267,209,,,,,,,,,,
4,0.7270944714546204,219,,,,,,,,,,
4,1.802141785621643,229,,,,,,,,,,
4,0.9493693113327026,239,,,,,,,,,,
4,0.5616915822029114,249,,,,,,,,,,
4,1.8500887155532837,259,,,,,,,,,,
4,,259,0.8652549386024475,0.5052320957183838,0.5190104246139526,0.37168142199516296,1.252007246017456,,,,,
5,,260,,,,,,0.37168142199516296,0.8652549386024475,0.5052320957183838,0.5190104246139526,1.252007246017456
