train_loss,epoch,step,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_sas,test_avg_qa_bert_score
2.043192148208618,0,9,,,,,,,,,,
0.7917540669441223,0,19,,,,,,,,,,
0.5839636921882629,0,29,,,,,,,,,,
0.8134295344352722,0,39,,,,,,,,,,
0.9876357913017273,0,49,,,,,,,,,,
0.9071280360221863,0,59,,,,,,,,,,
,0,62,0.21052631735801697,0.4456966817378998,0.3046843409538269,0.7982405424118042,0.26211509108543396,,,,,
0.5053245425224304,1,69,,,,,,,,,,
0.3444889187812805,1,79,,,,,,,,,,
0.48446112871170044,1,89,,,,,,,,,,
0.40029579401016235,1,99,,,,,,,,,,
0.8010831475257874,1,109,,,,,,,,,,
0.3813173770904541,1,119,,,,,,,,,,
,1,125,0.3070175349712372,0.3613044321537018,0.3923862874507904,0.8310186266899109,0.3567187190055847,,,,,
0.4512832760810852,2,129,,,,,,,,,,
0.5331045985221863,2,139,,,,,,,,,,
0.42425039410591125,2,149,,,,,,,,,,
0.5617538690567017,2,159,,,,,,,,,,
0.33438074588775635,2,169,,,,,,,,,,
0.30362510681152344,2,179,,,,,,,,,,
,2,188,0.3684210479259491,0.33459511399269104,0.4461461007595062,0.8473988771438599,0.4128904938697815,,,,,
0.4932718575000763,3,189,,,,,,,,,,
0.18095949292182922,3,199,,,,,,,,,,
0.42978766560554504,3,209,,,,,,,,,,
0.23923932015895844,3,219,,,,,,,,,,
0.27561521530151367,3,229,,,,,,,,,,
0.2735888659954071,3,239,,,,,,,,,,
0.32924607396125793,3,249,,,,,,,,,,
,3,251,0.390350878238678,0.2976940870285034,0.47363537549972534,0.8525689840316772,0.43151506781578064,,,,,
0.3713115155696869,4,259,,,,,,,,,,
0.23729895055294037,4,269,,,,,,,,,,
0.21782507002353668,4,279,,,,,,,,,,
0.2548869848251343,4,289,,,,,,,,,,
0.2627562880516052,4,299,,,,,,,,,,
0.18224725127220154,4,309,,,,,,,,,,
,4,314,0.4254385828971863,0.27955788373947144,0.5006892681121826,0.8619180917739868,0.46268177032470703,,,,,
,5,315,,,,,,0.5006892681121826,0.4254385828971863,0.27955788373947144,0.46268177032470703,0.8619180917739868
