train_loss,step,epoch,val_qa_em,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_loss
1.202427864074707,9,0,,,,,,,,,,
1.4417457580566406,19,0,,,,,,,,,,
0.7252289652824402,29,0,,,,,,,,,,
0.7395638823509216,39,0,,,,,,,,,,
,40,0,0.21666666865348816,0.5027062296867371,0.284149169921875,0.3052595257759094,0.7921051979064941,,,,,
0.6446066498756409,49,1,,,,,,,,,,
0.5325352549552917,59,1,,,,,,,,,,
0.5636990666389465,69,1,,,,,,,,,,
0.6564134359359741,79,1,,,,,,,,,,
,81,1,0.31111112236976624,0.4038766324520111,0.3723042905330658,0.39902806282043457,0.8169348239898682,,,,,
0.2621280252933502,89,2,,,,,,,,,,
0.5306854844093323,99,2,,,,,,,,,,
0.2532272934913635,109,2,,,,,,,,,,
0.4380166530609131,119,2,,,,,,,,,,
,122,2,0.38333332538604736,0.3531515598297119,0.45068359375,0.44956234097480774,0.8519034385681152,,,,,
0.3166463375091553,129,3,,,,,,,,,,
0.43080246448516846,139,3,,,,,,,,,,
0.28858882188796997,149,3,,,,,,,,,,
0.5570980310440063,159,3,,,,,,,,,,
,163,3,0.4055555462837219,0.31979745626449585,0.4644266664981842,0.46478042006492615,0.8584629893302917,,,,,
0.42563551664352417,169,4,,,,,,,,,,
0.3065165877342224,179,4,,,,,,,,,,
0.3958156704902649,189,4,,,,,,,,,,
0.47014737129211426,199,4,,,,,,,,,,
,204,4,0.43888887763023376,0.2982364892959595,0.49468994140625,0.49251413345336914,0.8664143085479736,,,,,
,205,5,,,,,,0.43888887763023376,0.49251413345336914,0.49468994140625,0.8664143085479736,0.2982364892959595
