epoch,train_loss,step,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
0,1.4001458883285522,9,,,,,,,,,,
0,1.3310281038284302,19,,,,,,,,,,
0,1.0062966346740723,29,,,,,,,,,,
0,0.8662282824516296,39,,,,,,,,,,
0,0.43946459889411926,49,,,,,,,,,,
0,0.9065046310424805,59,,,,,,,,,,
0,,61,0.173728808760643,0.49123111367225647,0.7901512384414673,0.2294284850358963,0.24973294138908386,,,,,
1,0.5061718821525574,69,,,,,,,,,,
1,0.5550752282142639,79,,,,,,,,,,
1,0.4352262020111084,89,,,,,,,,,,
1,0.5061947107315063,99,,,,,,,,,,
1,0.6145521402359009,109,,,,,,,,,,
1,0.5441194772720337,119,,,,,,,,,,
1,,123,0.25,0.43860775232315063,0.8111172914505005,0.29817819595336914,0.32565024495124817,,,,,
2,0.5614579916000366,129,,,,,,,,,,
2,0.5039379596710205,139,,,,,,,,,,
2,0.36711785197257996,149,,,,,,,,,,
2,0.2267676293849945,159,,,,,,,,,,
2,0.34853994846343994,169,,,,,,,,,,
2,0.2998238503932953,179,,,,,,,,,,
2,,185,0.2542372941970825,0.40651753544807434,0.8115609884262085,0.29830366373062134,0.32973769307136536,,,,,
3,0.3383274972438812,189,,,,,,,,,,
3,0.3542526066303253,199,,,,,,,,,,
3,0.4463994801044464,209,,,,,,,,,,
3,0.3776543438434601,219,,,,,,,,,,
3,0.4375326633453369,229,,,,,,,,,,
3,0.37334203720092773,239,,,,,,,,,,
3,,247,0.2881355881690979,0.3620741367340088,0.8227684497833252,0.32817643880844116,0.3619624674320221,,,,,
4,0.370807409286499,249,,,,,,,,,,
4,0.41574856638908386,259,,,,,,,,,,
4,0.4385441839694977,269,,,,,,,,,,
4,0.32091689109802246,279,,,,,,,,,,
4,0.34779226779937744,289,,,,,,,,,,
4,0.19278274476528168,299,,,,,,,,,,
4,0.5233269929885864,309,,,,,,,,,,
4,,309,0.2923728823661804,0.36154893040657043,0.8238071203231812,0.33701783418655396,0.3610337972640991,,,,,
5,,310,,,,,,0.33701783418655396,0.8238071203231812,0.2923728823661804,0.36154893040657043,0.3610337972640991
