train_loss,step,epoch,val_qa_sas,val_qa_bert_score,val_loss,val_qa_answer_f1,val_qa_em,test_avg_qa_em,test_avg_qa_answer_f1,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
0.932422935962677,9,0,,,,,,,,,,
1.2249850034713745,19,0,,,,,,,,,,
1.4517590999603271,29,0,,,,,,,,,,
1.0238779783248901,39,0,,,,,,,,,,
1.175688624382019,49,0,,,,,,,,,,
,51,0,0.5247628092765808,0.835254967212677,1.236492395401001,0.4045605957508087,0.13488371670246124,,,,,
1.0449581146240234,59,1,,,,,,,,,,
1.0687389373779297,69,1,,,,,,,,,,
1.2414494752883911,79,1,,,,,,,,,,
1.320480465888977,89,1,,,,,,,,,,
2.59336519241333,99,1,,,,,,,,,,
,103,1,0.5519147515296936,0.8395208716392517,1.1854455471038818,0.42489704489707947,0.16744185984134674,,,,,
1.5732475519180298,109,2,,,,,,,,,,
1.439805507659912,119,2,,,,,,,,,,
0.9769307374954224,129,2,,,,,,,,,,
1.3402334451675415,139,2,,,,,,,,,,
1.1950370073318481,149,2,,,,,,,,,,
,155,2,0.5573905110359192,0.8420997262001038,1.1635020971298218,0.43319201469421387,0.20000000298023224,,,,,
1.2290974855422974,159,3,,,,,,,,,,
1.0635310411453247,169,3,,,,,,,,,,
0.8106656670570374,179,3,,,,,,,,,,
1.041914701461792,189,3,,,,,,,,,,
1.0972899198532104,199,3,,,,,,,,,,
,207,3,0.5725620985031128,0.8446232676506042,1.1350393295288086,0.44745010137557983,0.20000000298023224,,,,,
1.070466160774231,209,4,,,,,,,,,,
1.3637655973434448,219,4,,,,,,,,,,
1.0446126461029053,229,4,,,,,,,,,,
0.3580683469772339,239,4,,,,,,,,,,
1.0742048025131226,249,4,,,,,,,,,,
0.18929632008075714,259,4,,,,,,,,,,
,259,4,0.5842459797859192,0.8494127988815308,1.1355689764022827,0.4680476784706116,0.23720930516719818,,,,,
,260,5,,,,,,0.23720930516719818,0.4680476784706116,1.1355689764022827,0.8494127988815308,0.5842459797859192
