train_loss,epoch,step,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
2.682894229888916,0,9,,,,,,,,,,
3.167309045791626,0,19,,,,,,,,,,
2.2059779167175293,0,29,,,,,,,,,,
2.1403682231903076,0,39,,,,,,,,,,
,0,47,0.190476194024086,0.2629542052745819,0.7750808000564575,0.28521728515625,2.2533957958221436,,,,,
1.5392450094223022,1,49,,,,,,,,,,
3.3474678993225098,1,59,,,,,,,,,,
2.6786153316497803,1,69,,,,,,,,,,
1.9718445539474487,1,79,,,,,,,,,,
2.203002452850342,1,89,,,,,,,,,,
,1,95,0.29004329442977905,0.3921407163143158,0.8176894783973694,0.41447752714157104,1.9209034442901611,,,,,
1.2922972440719604,2,99,,,,,,,,,,
1.2059657573699951,2,109,,,,,,,,,,
1.3285901546478271,2,119,,,,,,,,,,
1.863716721534729,2,129,,,,,,,,,,
1.2289847135543823,2,139,,,,,,,,,,
,2,143,0.350649356842041,0.4736221730709076,0.847812294960022,0.504321277141571,1.798815131187439,,,,,
1.6186037063598633,3,149,,,,,,,,,,
1.8037590980529785,3,159,,,,,,,,,,
1.7033389806747437,3,169,,,,,,,,,,
1.784968376159668,3,179,,,,,,,,,,
2.2210304737091064,3,189,,,,,,,,,,
,3,191,0.3636363744735718,0.4959578514099121,0.8534737229347229,0.5164876580238342,1.7097985744476318,,,,,
1.65977144241333,4,199,,,,,,,,,,
1.7216730117797852,4,209,,,,,,,,,,
1.760698914527893,4,219,,,,,,,,,,
1.5624462366104126,4,229,,,,,,,,,,
1.4163448810577393,4,239,,,,,,,,,,
,4,239,0.36796537041664124,0.5097252726554871,0.8600018620491028,0.5302083492279053,1.664781093597412,,,,,
,5,240,,,,,,0.36796537041664124,0.5302083492279053,0.8600018620491028,1.664781093597412,0.5097252726554871
