epoch,train_loss,step,val_qa_answer_f1,val_qa_sas,val_loss,val_qa_bert_score,val_qa_em,test_loss
0,0.7837971448898315,9,,,,,,
0,0.6203696727752686,19,,,,,,
0,0.744490921497345,29,,,,,,
0,0.7292959690093994,39,,,,,,
0,0.4265439808368683,49,,,,,,
0,0.36126092076301575,59,,,,,,
0,0.34004029631614685,69,,,,,,
0,0.3388025164604187,79,,,,,,
0,,83,0.3190590441226959,0.4080517590045929,0.09952147305011749,0.8089668154716492,0.23417721688747406,
1,0.3821370005607605,89,,,,,,
1,0.25476038455963135,99,,,,,,
1,0.1763068288564682,109,,,,,,
1,0.24881641566753387,119,,,,,,
1,0.19071100652217865,129,,,,,,
1,0.3195863962173462,139,,,,,,
1,0.312779039144516,149,,,,,,
1,0.24987588822841644,159,,,,,,
1,,167,0.39928844571113586,0.44552555680274963,0.0777459666132927,0.8245056867599487,0.32278481125831604,
2,0.21346600353717804,169,,,,,,
2,0.1920381635427475,179,,,,,,
2,0.1629437357187271,189,,,,,,
2,0.26788413524627686,199,,,,,,
2,0.12089495360851288,209,,,,,,
2,0.2354518324136734,219,,,,,,
2,0.08629675954580307,229,,,,,,
2,0.1774916648864746,239,,,,,,
2,0.12057781964540482,249,,,,,,
2,,251,0.4794783294200897,0.46452659368515015,0.07338641583919525,0.8433425426483154,0.4177215099334717,
3,0.10140696167945862,259,,,,,,
3,0.08789162337779999,269,,,,,,
3,0.10038796812295914,279,,,,,,
3,0.13592587411403656,289,,,,,,
3,0.07941814512014389,299,,,,,,
3,0.12955380976200104,309,,,,,,
3,0.07269392907619476,319,,,,,,
3,0.10340186953544617,329,,,,,,
3,,335,0.5261680483818054,0.5072183012962341,0.06956882774829865,0.8561089634895325,0.4683544337749481,
4,0.06354617327451706,339,,,,,,
4,0.05185101553797722,349,,,,,,
4,0.04812872037291527,359,,,,,,
4,0.06328419595956802,369,,,,,,
4,0.0705796405673027,379,,,,,,
4,0.07417071610689163,389,,,,,,
4,0.08067571371793747,399,,,,,,
4,0.055663831532001495,409,,,,,,
4,0.011429945938289165,419,,,,,,
4,,419,0.5339870452880859,0.5084375143051147,0.07247191667556763,0.8580508232116699,0.474683552980423,
5,,420,,,,,,0.07247191667556763
