epoch,step,train_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,test_loss
0,9,nan,,,,,,
0,19,0.6258731484413147,,,,,,
0,29,0.5828925967216492,,,,,,
0,39,0.40325480699539185,,,,,,
0,49,0.3807985484600067,,,,,,
0,59,0.21328741312026978,,,,,,
0,69,0.41014930605888367,,,,,,
0,79,0.4391869902610779,,,,,,
0,81,,0.30465957522392273,0.7950983643531799,0.31512451171875,0.20348836481571198,0.10316656529903412,
1,89,0.22784292697906494,,,,,,
1,99,0.21760189533233643,,,,,,
1,109,0.24802346527576447,,,,,,
1,119,0.2796352207660675,,,,,,
1,129,0.17927131056785583,,,,,,
1,139,0.2391209602355957,,,,,,
1,149,0.20007725059986115,,,,,,
1,159,0.26013264060020447,,,,,,
1,163,,0.4222469627857208,0.8241773247718811,0.38179895281791687,0.3372093141078949,0.07829894125461578,
2,169,0.11876460909843445,,,,,,
2,179,0.15950541198253632,,,,,,
2,189,0.15135592222213745,,,,,,
2,199,0.13771900534629822,,,,,,
2,209,0.14250652492046356,,,,,,
2,219,0.16519536077976227,,,,,,
2,229,0.10782257467508316,,,,,,
2,239,0.130361407995224,,,,,,
2,245,,0.5161938071250916,0.8495615720748901,0.47110065817832947,0.4360465109348297,0.06960584223270416,
3,249,0.06464852392673492,,,,,,
3,259,0.05548141151666641,,,,,,
3,269,0.19783876836299896,,,,,,
3,279,0.1342945247888565,,,,,,
3,289,0.09116801619529724,,,,,,
3,299,0.07614438980817795,,,,,,
3,309,0.07425089925527573,,,,,,
3,319,0.11413309723138809,,,,,,
3,327,,0.5037409067153931,0.8488529920578003,0.4635828733444214,0.43023255467414856,0.0687631294131279,
4,329,0.042232029139995575,,,,,,
4,339,0.06505932658910751,,,,,,
4,349,0.07118161022663116,,,,,,
4,359,0.04326251521706581,,,,,,
4,369,0.1155281662940979,,,,,,
4,379,0.04473742097616196,,,,,,
4,389,0.04019363969564438,,,,,,
4,399,0.0602218396961689,,,,,,
4,409,0.026437638327479362,,,,,,
4,409,,0.5487958192825317,0.8603500723838806,0.5048872232437134,0.48255813121795654,0.07126612216234207,
5,410,,,,,,,0.07126612216234207
