epoch,train_loss,step,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
0,1.6882600784301758,9,,,,,,,,,,
0,1.2399044036865234,19,,,,,,,,,,
0,0.9189978837966919,29,,,,,,,,,,
0,1.1949472427368164,39,,,,,,,,,,
0,0.6240845322608948,49,,,,,,,,,,
0,0.7330138683319092,59,,,,,,,,,,
0,,61,0.26273155212402344,0.20338982343673706,0.5102669596672058,0.29642605781555176,0.8011736273765564,,,,,
1,0.5581441521644592,69,,,,,,,,,,
1,0.5645979046821594,79,,,,,,,,,,
1,0.559934139251709,89,,,,,,,,,,
1,0.5106028914451599,99,,,,,,,,,,
1,0.4395988881587982,109,,,,,,,,,,
1,0.612440824508667,119,,,,,,,,,,
1,,123,0.32803040742874146,0.2838982939720154,0.4130462408065796,0.3576553761959076,0.8237389326095581,,,,,
2,0.5069937109947205,129,,,,,,,,,,
2,0.40642955899238586,139,,,,,,,,,,
2,0.40412554144859314,149,,,,,,,,,,
2,0.2990790605545044,159,,,,,,,,,,
2,0.4942491054534912,169,,,,,,,,,,
2,0.3048320412635803,179,,,,,,,,,,
2,,185,0.358242005109787,0.3050847351551056,0.3499416708946228,0.3886841833591461,0.8348225951194763,,,,,
3,0.31525516510009766,189,,,,,,,,,,
3,0.3092783987522125,199,,,,,,,,,,
3,0.28656086325645447,209,,,,,,,,,,
3,0.46593132615089417,219,,,,,,,,,,
3,0.6567785143852234,229,,,,,,,,,,
3,0.2848925292491913,239,,,,,,,,,,
3,,247,0.3902396559715271,0.3432203531265259,0.33069005608558655,0.41615116596221924,0.8433333039283752,,,,,
4,0.318798303604126,249,,,,,,,,,,
4,0.2928105890750885,259,,,,,,,,,,
4,0.3295510411262512,269,,,,,,,,,,
4,0.13790006935596466,279,,,,,,,,,,
4,0.26046139001846313,289,,,,,,,,,,
4,0.15782049298286438,299,,,,,,,,,,
4,0.24733056128025055,309,,,,,,,,,,
4,,309,0.4206995368003845,0.3813559412956238,0.31173744797706604,0.4429769814014435,0.8478618264198303,,,,,
5,,310,,,,,,0.8478618264198303,0.4429769814014435,0.4206995368003845,0.31173744797706604,0.3813559412956238
