train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_bert_score,val_qa_em,val_qa_sas,test_loss,test_avg_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_sas
1.0700472593307495,0,9,,,,,,,,,,
1.0006192922592163,0,19,,,,,,,,,,
0.8410319685935974,0,29,,,,,,,,,,
,0,31,0.5387006998062134,0.1688891351222992,0.7900305390357971,0.078125,0.14583587646484375,,,,,
0.6905732750892639,1,39,,,,,,,,,,
0.5400407314300537,1,49,,,,,,,,,,
0.4956076145172119,1,59,,,,,,,,,,
,1,63,0.4989333152770996,0.19903381168842316,0.8059728145599365,0.125,0.187042236328125,,,,,
0.6461344361305237,2,69,,,,,,,,,,
0.6957281231880188,2,79,,,,,,,,,,
0.4849085509777069,2,89,,,,,,,,,,
,2,95,0.45323312282562256,0.19738616049289703,0.8049972653388977,0.1171875,0.1746978759765625,,,,,
0.43670448660850525,3,99,,,,,,,,,,
0.5513880848884583,3,109,,,,,,,,,,
0.4403402507305145,3,119,,,,,,,,,,
,3,127,0.44456106424331665,0.2971065938472748,0.826471209526062,0.1875,0.254913330078125,,,,,
0.33511435985565186,4,129,,,,,,,,,,
0.5065085291862488,4,139,,,,,,,,,,
0.3351491689682007,4,149,,,,,,,,,,
0.6503878831863403,4,159,,,,,,,,,,
,4,159,0.45358899235725403,0.26730239391326904,0.8259726762771606,0.1640625,0.2283935546875,,,,,
,5,160,,,,,,0.44456106424331665,0.2971065938472748,0.826471209526062,0.1875,0.254913330078125
