epoch,train_loss,step,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
0,1.4468421936035156,9,,,,,,,,,,
0,0.9523351192474365,19,,,,,,,,,,
0,1.082524061203003,29,,,,,,,,,,
0,0.723256528377533,39,,,,,,,,,,
0,0.6224797368049622,49,,,,,,,,,,
0,0.9047939777374268,59,,,,,,,,,,
0,,60,0.23498904705047607,0.17760618031024933,0.507064700126648,0.2719273567199707,0.8007797598838806,,,,,
1,0.7000256776809692,69,,,,,,,,,,
1,0.49780380725860596,79,,,,,,,,,,
1,0.5141992568969727,89,,,,,,,,,,
1,0.4374377131462097,99,,,,,,,,,,
1,0.554811418056488,109,,,,,,,,,,
1,0.5357111096382141,119,,,,,,,,,,
1,,121,0.31720274686813354,0.2509652376174927,0.4026883542537689,0.34712159633636475,0.8233931660652161,,,,,
2,0.49486809968948364,129,,,,,,,,,,
2,0.4315991997718811,139,,,,,,,,,,
2,0.33602383732795715,149,,,,,,,,,,
2,0.44441109895706177,159,,,,,,,,,,
2,0.4701010286808014,169,,,,,,,,,,
2,0.4281570017337799,179,,,,,,,,,,
2,,182,0.36705851554870605,0.31274130940437317,0.3517663776874542,0.39390936493873596,0.8363336324691772,,,,,
3,0.5615990161895752,189,,,,,,,,,,
3,0.29191648960113525,199,,,,,,,,,,
3,0.25917932391166687,209,,,,,,,,,,
3,0.5098360776901245,219,,,,,,,,,,
3,0.5219030976295471,229,,,,,,,,,,
3,0.2476520836353302,239,,,,,,,,,,
3,,243,0.41363099217414856,0.3667953610420227,0.32464084029197693,0.4464159309864044,0.85639488697052,,,,,
4,0.28718116879463196,249,,,,,,,,,,
4,0.21079102158546448,259,,,,,,,,,,
4,0.3442460298538208,269,,,,,,,,,,
4,0.411101758480072,279,,,,,,,,,,
4,0.2962673604488373,289,,,,,,,,,,
4,0.31572961807250977,299,,,,,,,,,,
4,,304,0.4139125347137451,0.3706563711166382,0.31611496210098267,0.4485439658164978,0.8585325479507446,,,,,
5,,305,,,,,,0.8585325479507446,0.4485439658164978,0.4139125347137451,0.31611496210098267,0.3706563711166382
