epoch,train_loss,step,val_qa_answer_f1,val_loss,val_qa_em,val_qa_sas,val_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_em,test_loss
0,1.5833066701889038,9,,,,,,,,,,
0,0.914447009563446,19,,,,,,,,,,
0,0.900537371635437,29,,,,,,,,,,
0,0.8489240407943726,39,,,,,,,,,,
0,,41,0.3197638690471649,0.5139725208282471,0.2278480976819992,0.29816895723342896,0.7939590811729431,,,,,
1,0.5753249526023865,49,,,,,,,,,,
1,0.48644766211509705,59,,,,,,,,,,
1,0.4206756055355072,69,,,,,,,,,,
1,0.6787588596343994,79,,,,,,,,,,
1,,83,0.3951774835586548,0.4331128001213074,0.3037974536418915,0.36573487520217896,0.8211460113525391,,,,,
2,0.3722302317619324,89,,,,,,,,,,
2,0.4383867681026459,99,,,,,,,,,,
2,0.34980839490890503,109,,,,,,,,,,
2,0.2496126890182495,119,,,,,,,,,,
2,,125,0.4542739987373352,0.3888632357120514,0.3860759437084198,0.4229736328125,0.8430238962173462,,,,,
3,0.3429434895515442,129,,,,,,,,,,
3,0.571333110332489,139,,,,,,,,,,
3,0.49967101216316223,149,,,,,,,,,,
3,0.3672134280204773,159,,,,,,,,,,
3,,167,0.48291411995887756,0.3703385293483734,0.40506330132484436,0.44929200410842896,0.8514536619186401,,,,,
4,0.3303564488887787,169,,,,,,,,,,
4,0.3188740909099579,179,,,,,,,,,,
4,0.36528846621513367,189,,,,,,,,,,
4,0.37245526909828186,199,,,,,,,,,,
4,0.4276247024536133,209,,,,,,,,,,
4,,209,0.5076594948768616,0.3491778075695038,0.43670886754989624,0.47370606660842896,0.8601988554000854,,,,,
5,,210,,,,,,0.5076594948768616,0.47370606660842896,0.8601988554000854,0.43670886754989624,0.3491778075695038
