train_loss,epoch,step,val_qa_em,val_qa_answer_f1,val_qa_bert_score,val_qa_sas,val_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
2.1477127075195312,0,9,,,,,,,,,,
3.647780179977417,0,19,,,,,,,,,,
2.012244701385498,0,29,,,,,,,,,,
2.708322525024414,0,39,,,,,,,,,,
,0,48,0.17224881052970886,0.24912279844284058,0.7539440393447876,0.2668614983558655,2.2532999515533447,,,,,
1.6222015619277954,1,49,,,,,,,,,,
1.7602152824401855,1,59,,,,,,,,,,
1.6111938953399658,1,69,,,,,,,,,,
2.447514295578003,1,79,,,,,,,,,,
1.6314690113067627,1,89,,,,,,,,,,
,1,97,0.2679425776004791,0.4070359468460083,0.8118101358413696,0.4189567565917969,1.934125542640686,,,,,
2.0095739364624023,2,99,,,,,,,,,,
1.2880263328552246,2,109,,,,,,,,,,
1.6233481168746948,2,119,,,,,,,,,,
1.6581274271011353,2,129,,,,,,,,,,
6.366724491119385,2,139,,,,,,,,,,
,2,146,0.30622008442878723,0.4538176953792572,0.8326066136360168,0.4698900580406189,1.78192138671875,,,,,
2.1921889781951904,3,149,,,,,,,,,,
1.5747419595718384,3,159,,,,,,,,,,
1.0311269760131836,3,169,,,,,,,,,,
0.9562491774559021,3,179,,,,,,,,,,
1.8550198078155518,3,189,,,,,,,,,,
,3,195,0.3349282443523407,0.4760664701461792,0.8391846418380737,0.4872850775718689,1.7015997171401978,,,,,
1.8301770687103271,4,199,,,,,,,,,,
1.6821435689926147,4,209,,,,,,,,,,
1.6412618160247803,4,219,,,,,,,,,,
1.5607610940933228,4,229,,,,,,,,,,
0.7153908610343933,4,239,,,,,,,,,,
,4,244,0.35885167121887207,0.5092403292655945,0.8459814786911011,0.5184756517410278,1.658835768699646,,,,,
,5,245,,,,,,0.35885167121887207,0.5184756517410278,0.8459814786911011,1.658835768699646,0.5092403292655945
