train_loss,epoch,step,val_qa_bert_score,val_qa_answer_f1,val_qa_em,val_loss,val_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_sas
1.542264699935913,0,9,,,,,,,,,,
1.4208307266235352,0,19,,,,,,,,,,
1.2119190692901611,0,29,,,,,,,,,,
0.8719819784164429,0,39,,,,,,,,,,
,0,41,0.7824103832244873,0.23763777315616608,0.1666666716337204,0.5590474605560303,0.26180198788642883,,,,,
0.6103542447090149,1,49,,,,,,,,,,
0.30952712893486023,1,59,,,,,,,,,,
0.5735195875167847,1,69,,,,,,,,,,
0.3765888810157776,1,79,,,,,,,,,,
,1,83,0.8215909600257874,0.363626092672348,0.29012346267700195,0.3767319321632385,0.3626819849014282,,,,,
0.5183453559875488,2,89,,,,,,,,,,
0.416034996509552,2,99,,,,,,,,,,
0.361017644405365,2,109,,,,,,,,,,
0.39169687032699585,2,119,,,,,,,,,,
,2,125,0.8208284378051758,0.3534175157546997,0.29629629850387573,0.3354175388813019,0.3895929455757141,,,,,
0.4145958125591278,3,129,,,,,,,,,,
0.4139282703399658,3,139,,,,,,,,,,
0.5140771269798279,3,149,,,,,,,,,,
0.297188401222229,3,159,,,,,,,,,,
,3,167,0.8280491232872009,0.38105860352516174,0.31481480598449707,0.31776562333106995,0.4056285619735718,,,,,
0.36090320348739624,4,169,,,,,,,,,,
0.31335434317588806,4,179,,,,,,,,,,
0.34908542037010193,4,189,,,,,,,,,,
0.32065606117248535,4,199,,,,,,,,,,
0.19927705824375153,4,209,,,,,,,,,,
,4,209,0.8351837396621704,0.409710556268692,0.3580246865749359,0.295425146818161,0.4007457494735718,,,,,
,5,210,,,,,,0.409710556268692,0.3580246865749359,0.295425146818161,0.8351837396621704,0.4007457494735718
