train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_em,val_qa_bert_score,test_loss,test_avg_qa_sas,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_bert_score
1.7035359144210815,9,0,,,,,,,,,,
1.4446091651916504,19,0,,,,,,,,,,
0.8963727951049805,29,0,,,,,,,,,,
1.0456715822219849,39,0,,,,,,,,,,
,40,0,0.20594681799411774,0.6470342874526978,0.16380725800991058,0.10465116053819656,0.7612901926040649,,,,,
0.6692097783088684,49,1,,,,,,,,,,
0.5751261711120605,59,1,,,,,,,,,,
0.46625956892967224,69,1,,,,,,,,,,
0.5033835768699646,79,1,,,,,,,,,,
,81,1,0.31950780749320984,0.4809800386428833,0.28204345703125,0.23255814611911774,0.8036291599273682,,,,,
0.34235483407974243,89,2,,,,,,,,,,
0.5278369784355164,99,2,,,,,,,,,,
0.26344066858291626,109,2,,,,,,,,,,
0.43826135993003845,119,2,,,,,,,,,,
,122,2,0.3499757945537567,0.4458572566509247,0.30611905455589294,0.2616279125213623,0.8169248104095459,,,,,
0.435769259929657,129,3,,,,,,,,,,
0.5269323587417603,139,3,,,,,,,,,,
0.21877463161945343,149,3,,,,,,,,,,
0.1867547333240509,159,3,,,,,,,,,,
,163,3,0.3697570860385895,0.41981759667396545,0.33168724179267883,0.302325576543808,0.8192123174667358,,,,,
0.4790196120738983,169,4,,,,,,,,,,
0.286184698343277,179,4,,,,,,,,,,
0.21165859699249268,189,4,,,,,,,,,,
0.30793800950050354,199,4,,,,,,,,,,
,204,4,0.39554649591445923,0.3783775568008423,0.35617896914482117,0.3255814015865326,0.8293344974517822,,,,,
,205,5,,,,,,0.3783775568008423,0.35617896914482117,0.39554649591445923,0.3255814015865326,0.8293344974517822
