train_loss,epoch,step,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
3.3789825439453125,0,9,,,,,,,,,,
3.7119953632354736,0,19,,,,,,,,,,
2.0171971321105957,0,29,,,,,,,,,,
2.108107805252075,0,39,,,,,,,,,,
2.1840686798095703,0,49,,,,,,,,,,
,0,51,0.21245704591274261,0.2632890045642853,0.13218390941619873,0.7535724639892578,2.0787105560302734,,,,,
1.8911532163619995,1,59,,,,,,,,,,
2.235024929046631,1,69,,,,,,,,,,
1.5560643672943115,1,79,,,,,,,,,,
2.3604490756988525,1,89,,,,,,,,,,
1.626695156097412,1,99,,,,,,,,,,
,1,103,0.3337462246417999,0.3907914459705353,0.2068965584039688,0.797268271446228,1.733534574508667,,,,,
1.9497414827346802,2,109,,,,,,,,,,
1.3023583889007568,2,119,,,,,,,,,,
2.3419060707092285,2,129,,,,,,,,,,
1.3749233484268188,2,139,,,,,,,,,,
1.719990849494934,2,149,,,,,,,,,,
,2,155,0.4626324474811554,0.5195534229278564,0.31609195470809937,0.8400557041168213,1.5306932926177979,,,,,
1.3038372993469238,3,159,,,,,,,,,,
0.9468739032745361,3,169,,,,,,,,,,
0.8454124927520752,3,179,,,,,,,,,,
1.316771388053894,3,189,,,,,,,,,,
1.8973480463027954,3,199,,,,,,,,,,
,3,207,0.5104031562805176,0.5681818127632141,0.3563218414783478,0.8639234900474548,1.4434289932250977,,,,,
0.9835626482963562,4,209,,,,,,,,,,
1.049211025238037,4,219,,,,,,,,,,
1.0254098176956177,4,229,,,,,,,,,,
0.9490578770637512,4,239,,,,,,,,,,
0.999361515045166,4,249,,,,,,,,,,
1.25543212890625,4,259,,,,,,,,,,
,4,259,0.5455244779586792,0.6000310778617859,0.40229883790016174,0.8752005100250244,1.3905282020568848,,,,,
,5,260,,,,,,0.8752005100250244,0.6000310778617859,0.40229883790016174,1.3905282020568848,0.5455244779586792
