epoch,train_loss,step,val_qa_em,val_qa_bert_score,val_qa_sas,val_loss,val_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_bert_score
0,1.8465335369110107,9,,,,,,,,,,
0,1.1734793186187744,19,,,,,,,,,,
0,1.205450177192688,29,,,,,,,,,,
0,0.9874622225761414,39,,,,,,,,,,
0,1.8917170763015747,49,,,,,,,,,,
0,,53,0.32972973585128784,0.8484821915626526,0.5390217900276184,1.4836653470993042,0.5070183277130127,,,,,
1,1.587348222732544,59,,,,,,,,,,
1,1.2265840768814087,69,,,,,,,,,,
1,1.9179373979568481,79,,,,,,,,,,
1,1.8700311183929443,89,,,,,,,,,,
1,1.4799623489379883,99,,,,,,,,,,
1,,107,0.36216217279434204,0.855964183807373,0.5575968623161316,1.2901560068130493,0.5179149508476257,,,,,
2,1.7724758386611938,109,,,,,,,,,,
2,1.6884284019470215,119,,,,,,,,,,
2,0.6357204914093018,129,,,,,,,,,,
2,6.509161949157715,139,,,,,,,,,,
2,1.2894946336746216,149,,,,,,,,,,
2,0.9622246623039246,159,,,,,,,,,,
2,,161,0.3513513505458832,0.8598861694335938,0.5671589970588684,1.2315794229507446,0.5330371260643005,,,,,
3,1.0016028881072998,169,,,,,,,,,,
3,3.942969560623169,179,,,,,,,,,,
3,1.1064165830612183,189,,,,,,,,,,
3,1.3642590045928955,199,,,,,,,,,,
3,0.9421787261962891,209,,,,,,,,,,
3,,215,0.3837837874889374,0.8679282069206238,0.594482421875,1.1573659181594849,0.5538737177848816,,,,,
4,0.5711497068405151,219,,,,,,,,,,
4,0.7508429884910583,229,,,,,,,,,,
4,0.8438844680786133,239,,,,,,,,,,
4,0.4970003366470337,249,,,,,,,,,,
4,3.2170846462249756,259,,,,,,,,,,
4,1.05238676071167,269,,,,,,,,,,
4,,269,0.4054054021835327,0.8732602596282959,0.5997517704963684,1.1445019245147705,0.5599097609519958,,,,,
5,,270,,,,,,1.1445019245147705,0.4054054021835327,0.5599097609519958,0.5997517704963684,0.8732602596282959
