epoch,train_loss,step,val_qa_answer_f1,val_qa_em,val_loss,val_qa_bert_score,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_em,test_avg_qa_sas,test_loss
0,1.2460602521896362,9,,,,,,,,,,
0,0.9155688881874084,19,,,,,,,,,,
0,0.7010334730148315,29,,,,,,,,,,
0,0.8420376181602478,39,,,,,,,,,,
0,,40,0.27212080359458923,0.15697674453258514,0.7546975612640381,0.7842598557472229,0.22710765898227692,,,,,
1,0.9442026615142822,49,,,,,,,,,,
1,0.5495973825454712,59,,,,,,,,,,
1,0.6980757117271423,69,,,,,,,,,,
1,0.7231916189193726,79,,,,,,,,,,
1,,81,0.30932724475860596,0.22093023359775543,0.5246376395225525,0.7986473441123962,0.2765336334705353,,,,,
2,0.3650590181350708,89,,,,,,,,,,
2,0.47338196635246277,99,,,,,,,,,,
2,0.298516184091568,109,,,,,,,,,,
2,0.40660613775253296,119,,,,,,,,,,
2,,122,0.36071640253067017,0.2616279125213623,0.4641302227973938,0.8166213631629944,0.32540616393089294,,,,,
3,0.4217180609703064,129,,,,,,,,,,
3,0.3682275116443634,139,,,,,,,,,,
3,0.39417564868927,149,,,,,,,,,,
3,0.2264600694179535,159,,,,,,,,,,
3,,163,0.40799015760421753,0.3139534890651703,0.4065549969673157,0.8311231136322021,0.3672651946544647,,,,,
4,0.5648401379585266,169,,,,,,,,,,
4,0.3576682507991791,179,,,,,,,,,,
4,0.30475032329559326,189,,,,,,,,,,
4,0.25599634647369385,199,,,,,,,,,,
4,,204,0.42934516072273254,0.3488371968269348,0.36324235796928406,0.8392196297645569,0.38462135195732117,,,,,
5,,205,,,,,,0.8392196297645569,0.42934516072273254,0.3488371968269348,0.38462135195732117,0.36324235796928406
