epoch,step,train_loss,val_qa_sas,val_qa_answer_f1,val_qa_bert_score,val_loss,val_qa_em,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_loss,test_avg_qa_answer_f1
0,9,2.1975834369659424,,,,,,,,,,
0,19,1.6600033044815063,,,,,,,,,,
0,29,1.9217125177383423,,,,,,,,,,
0,39,1.374701976776123,,,,,,,,,,
0,49,1.1458820104599,,,,,,,,,,
0,51,,0.5636492371559143,0.5058539509773254,0.8527085185050964,1.4915225505828857,0.3185840845108032,,,,,
1,59,1.6366122961044312,,,,,,,,,,
1,69,1.6441125869750977,,,,,,,,,,
1,79,1.2900234460830688,,,,,,,,,,
1,89,1.2509487867355347,,,,,,,,,,
1,99,1.4306055307388306,,,,,,,,,,
1,103,,0.5648648738861084,0.529383659362793,0.8571969866752625,1.3668607473373413,0.35840708017349243,,,,,
2,109,2.0775938034057617,,,,,,,,,,
2,119,1.3392503261566162,,,,,,,,,,
2,129,0.9237723350524902,,,,,,,,,,
2,139,1.6748045682907104,,,,,,,,,,
2,149,0.8599244952201843,,,,,,,,,,
2,155,,0.5683258771896362,0.5262371897697449,0.8676906824111938,1.3150357007980347,0.36283186078071594,,,,,
3,159,1.4528123140335083,,,,,,,,,,
3,169,1.358022928237915,,,,,,,,,,
3,179,0.7309020757675171,,,,,,,,,,
3,189,0.5716148614883423,,,,,,,,,,
3,199,0.828730583190918,,,,,,,,,,
3,207,,0.57256680727005,0.536287784576416,0.8708140254020691,1.281277060508728,0.36725664138793945,,,,,
4,209,1.1591241359710693,,,,,,,,,,
4,219,0.7869732975959778,,,,,,,,,,
4,229,1.653870940208435,,,,,,,,,,
4,239,0.8470184803009033,,,,,,,,,,
4,249,0.5040098428726196,,,,,,,,,,
4,259,1.9020609855651855,,,,,,,,,,
4,259,,0.5715243220329285,0.5360785722732544,0.8710061311721802,1.2696917057037354,0.37168142199516296,,,,,
5,260,,,,,,,0.37168142199516296,0.5715243220329285,0.8710061311721802,1.2696917057037354,0.5360785722732544
