train_loss,step,epoch,val_qa_bert_score,val_qa_sas,val_qa_em,val_loss,val_qa_answer_f1,test_avg_qa_sas,test_avg_qa_answer_f1,test_loss,test_avg_qa_em,test_avg_qa_bert_score
2.824064016342163,9,0,,,,,,,,,,
2.5375349521636963,19,0,,,,,,,,,,
1.9216495752334595,29,0,,,,,,,,,,
1.5368610620498657,39,0,,,,,,,,,,
1.61476731300354,49,0,,,,,,,,,,
,55,0,0.7741636037826538,0.31755369901657104,0.16352201998233795,1.7202082872390747,0.2669547498226166,,,,,
1.565006971359253,59,1,,,,,,,,,,
1.6820268630981445,69,1,,,,,,,,,,
0.7406988143920898,79,1,,,,,,,,,,
2.071504831314087,89,1,,,,,,,,,,
1.7486860752105713,99,1,,,,,,,,,,
1.7989559173583984,109,1,,,,,,,,,,
,111,1,0.8301620483398438,0.4646972715854645,0.3270440399646759,1.4741801023483276,0.4308569133281708,,,,,
1.6770811080932617,119,2,,,,,,,,,,
1.0099830627441406,129,2,,,,,,,,,,
1.9851945638656616,139,2,,,,,,,,,,
1.5956164598464966,149,2,,,,,,,,,,
1.3977601528167725,159,2,,,,,,,,,,
,167,2,0.8533447980880737,0.5386962890625,0.3962264060974121,1.3399436473846436,0.5030041933059692,,,,,
1.2594901323318481,169,3,,,,,,,,,,
1.1659046411514282,179,3,,,,,,,,,,
1.1413215398788452,189,3,,,,,,,,,,
1.2594887018203735,199,3,,,,,,,,,,
1.349002718925476,209,3,,,,,,,,,,
1.626555323600769,219,3,,,,,,,,,,
,223,3,0.8565852046012878,0.556884765625,0.3962264060974121,1.2810723781585693,0.5202902555465698,,,,,
0.8574687242507935,229,4,,,,,,,,,,
0.9296817779541016,239,4,,,,,,,,,,
0.928367555141449,249,4,,,,,,,,,,
0.8511192798614502,259,4,,,,,,,,,,
0.6868721842765808,269,4,,,,,,,,,,
1.007077693939209,279,4,,,,,,,,,,
,279,4,0.8550268411636353,0.5456787347793579,0.37735849618911743,1.2440168857574463,0.5081309080123901,,,,,
,280,5,,,,,,0.5456787347793579,0.5081309080123901,1.2440168857574463,0.37735849618911743,0.8550268411636353
