epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,3.1453421115875244,9,,,,,,,,,,
0,2.356178045272827,19,,,,,,,,,,
0,1.469828724861145,29,,,,,,,,,,
0,2.114733934402466,39,,,,,,,,,,
0,1.2036086320877075,49,,,,,,,,,,
0,,52,0.4208740293979645,0.8236352801322937,0.25,0.39228445291519165,1.587359070777893,,,,,
1,1.8039824962615967,59,,,,,,,,,,
1,0.7717267870903015,69,,,,,,,,,,
1,9.917624473571777,79,,,,,,,,,,
1,2.032085657119751,89,,,,,,,,,,
1,1.1491910219192505,99,,,,,,,,,,
1,,105,0.46776121854782104,0.8413020372390747,0.3461538553237915,0.4481961131095886,1.4419595003128052,,,,,
2,1.6245756149291992,109,,,,,,,,,,
2,1.918323040008545,119,,,,,,,,,,
2,1.6666228771209717,129,,,,,,,,,,
2,0.8053500056266785,139,,,,,,,,,,
2,1.6007453203201294,149,,,,,,,,,,
2,,158,0.4726928770542145,0.8462896347045898,0.3717948794364929,0.45581352710723877,1.333402395248413,,,,,
3,1.5759981870651245,159,,,,,,,,,,
3,1.3232420682907104,169,,,,,,,,,,
3,1.3702324628829956,179,,,,,,,,,,
3,1.6827328205108643,189,,,,,,,,,,
3,0.8176478743553162,199,,,,,,,,,,
3,1.0588880777359009,209,,,,,,,,,,
3,,211,0.5118652582168579,0.8569620251655579,0.39743590354919434,0.4952009618282318,1.2897651195526123,,,,,
4,0.974054753780365,219,,,,,,,,,,
4,1.5595585107803345,229,,,,,,,,,,
4,1.328918695449829,239,,,,,,,,,,
4,0.7722909450531006,249,,,,,,,,,,
4,1.019002079963684,259,,,,,,,,,,
4,,264,0.49925535917282104,0.8515369296073914,0.3910256326198578,0.4785648286342621,1.2811734676361084,,,,,
5,,265,,,,,,0.39743590354919434,0.8569620251655579,0.4952009618282318,0.5118652582168579,1.2897651195526123
