step,train_loss,epoch,val_qa_answer_f1,val_loss,val_qa_bert_score,val_qa_em,val_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
9,1.817042589187622,0,,,,,,,,,,
19,1.282217025756836,0,,,,,,,,,,
29,0.9637864232063293,0,,,,,,,,,,
39,0.6953501105308533,0,,,,,,,,,,
49,0.476495623588562,0,,,,,,,,,,
59,0.6818408370018005,0,,,,,,,,,,
60,,0,0.30679851770401,0.43559789657592773,0.8109993934631348,0.22007721662521362,0.272989958524704,,,,,
69,0.5684625506401062,1,,,,,,,,,,
79,0.527745246887207,1,,,,,,,,,,
89,0.5588493347167969,1,,,,,,,,,,
99,0.32632648944854736,1,,,,,,,,,,
109,0.5389769077301025,1,,,,,,,,,,
119,0.6110133528709412,1,,,,,,,,,,
121,,1,0.36432722210884094,0.35495057702064514,0.824356734752655,0.2857142984867096,0.3202800154685974,,,,,
129,0.36081966757774353,2,,,,,,,,,,
139,0.513414740562439,2,,,,,,,,,,
149,0.40448787808418274,2,,,,,,,,,,
159,0.4165303111076355,2,,,,,,,,,,
169,0.4193957448005676,2,,,,,,,,,,
179,0.46666139364242554,2,,,,,,,,,,
182,,2,0.39833587408065796,0.32888472080230713,0.8365235328674316,0.3204633295536041,0.352975994348526,,,,,
189,0.5344506502151489,3,,,,,,,,,,
199,0.3098287582397461,3,,,,,,,,,,
209,0.2504081130027771,3,,,,,,,,,,
219,0.32850316166877747,3,,,,,,,,,,
229,0.4291287064552307,3,,,,,,,,,,
239,0.3067440986633301,3,,,,,,,,,,
243,,3,0.4133584201335907,0.3053789436817169,0.8409562110900879,0.33590734004974365,0.367947518825531,,,,,
249,0.3214600086212158,4,,,,,,,,,,
259,0.3581441044807434,4,,,,,,,,,,
269,0.3107815682888031,4,,,,,,,,,,
279,0.37856200337409973,4,,,,,,,,,,
289,0.35472577810287476,4,,,,,,,,,,
299,0.25646042823791504,4,,,,,,,,,,
304,,4,0.40913885831832886,0.30563607811927795,0.8443772792816162,0.33976835012435913,0.3811412751674652,,,,,
305,,5,,,,,,0.8443772792816162,0.40913885831832886,0.3811412751674652,0.33976835012435913,0.30563607811927795
