train_loss,step,epoch,val_qa_bert_score,val_loss,val_qa_sas,val_qa_answer_f1,val_qa_em,test_loss,test_avg_qa_em,test_avg_qa_sas,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.4982742071151733,9,0,,,,,,,,,,
1.037174105644226,19,0,,,,,,,,,,
0.9730949401855469,29,0,,,,,,,,,,
0.8710204362869263,39,0,,,,,,,,,,
,41,0,0.79217928647995,0.5403746366500854,0.2817016541957855,0.3133951425552368,0.20886075496673584,,,,,
0.526523768901825,49,1,,,,,,,,,,
0.6311131715774536,59,1,,,,,,,,,,
0.5257860422134399,69,1,,,,,,,,,,
0.633836567401886,79,1,,,,,,,,,,
,83,1,0.8265148997306824,0.40943652391433716,0.3887573182582855,0.41490641236305237,0.3417721390724182,,,,,
0.3652345538139343,89,2,,,,,,,,,,
0.35497307777404785,99,2,,,,,,,,,,
0.30487260222435,109,2,,,,,,,,,,
0.3157293498516083,119,2,,,,,,,,,,
,125,2,0.8530062437057495,0.3553887903690338,0.4597412049770355,0.48653537034988403,0.42405062913894653,,,,,
0.41219863295555115,129,3,,,,,,,,,,
0.41524890065193176,139,3,,,,,,,,,,
0.45912665128707886,149,3,,,,,,,,,,
0.4099034070968628,159,3,,,,,,,,,,
,167,3,0.8651823997497559,0.3317817449569702,0.4898437559604645,0.5183130502700806,0.4556961953639984,,,,,
0.29852190613746643,169,4,,,,,,,,,,
0.3191421627998352,179,4,,,,,,,,,,
0.3666171431541443,189,4,,,,,,,,,,
0.4078548848628998,199,4,,,,,,,,,,
0.38559362292289734,209,4,,,,,,,,,,
,209,4,0.8645081520080566,0.33263760805130005,0.500732421875,0.5224470496177673,0.46202531456947327,,,,,
,210,5,,,,,,0.33263760805130005,0.46202531456947327,0.500732421875,0.8645081520080566,0.5224470496177673
