train_loss,step,epoch,val_qa_answer_f1,val_loss,val_qa_sas,val_qa_bert_score,val_qa_em,test_loss,test_avg_qa_bert_score,test_avg_qa_em,test_avg_qa_answer_f1,test_avg_qa_sas
2.0087037086486816,9,0,,,,,,,,,,
2.416633367538452,19,0,,,,,,,,,,
1.7274909019470215,29,0,,,,,,,,,,
1.4422773122787476,39,0,,,,,,,,,,
1.3162314891815186,49,0,,,,,,,,,,
,51,0,0.47705578804016113,1.6288013458251953,0.5213956236839294,0.845703661441803,0.29885056614875793,,,,,
2.101651430130005,59,1,,,,,,,,,,
1.867295503616333,69,1,,,,,,,,,,
1.3718079328536987,79,1,,,,,,,,,,
1.623827338218689,89,1,,,,,,,,,,
1.3076117038726807,99,1,,,,,,,,,,
,103,1,0.5082271099090576,1.4472265243530273,0.553466796875,0.859231173992157,0.3333333432674408,,,,,
1.3560264110565186,109,2,,,,,,,,,,
0.8619901537895203,119,2,,,,,,,,,,
2.5037248134613037,129,2,,,,,,,,,,
1.155672311782837,139,2,,,,,,,,,,
1.6379469633102417,149,2,,,,,,,,,,
,155,2,0.5471545457839966,1.380457878112793,0.5849609375,0.8708480596542358,0.37931033968925476,,,,,
0.9943727254867554,159,3,,,,,,,,,,
0.7815651297569275,169,3,,,,,,,,,,
0.3499038815498352,179,3,,,,,,,,,,
1.3239967823028564,189,3,,,,,,,,,,
1.8064388036727905,199,3,,,,,,,,,,
,207,3,0.5588975548744202,1.318858027458191,0.5985662341117859,0.8732526302337646,0.3965517282485962,,,,,
0.9076722264289856,209,4,,,,,,,,,,
0.7375385165214539,219,4,,,,,,,,,,
0.970947265625,229,4,,,,,,,,,,
0.9469839334487915,239,4,,,,,,,,,,
0.8392553329467773,249,4,,,,,,,,,,
1.6744384765625,259,4,,,,,,,,,,
,259,4,0.5487990379333496,1.3067150115966797,0.5920188426971436,0.871381402015686,0.3965517282485962,,,,,
,260,5,,,,,,1.318858027458191,0.8732526302337646,0.3965517282485962,0.5588975548744202,0.5985662341117859
