epoch,train_loss,step,val_qa_bert_score,val_qa_answer_f1,val_qa_sas,val_qa_em,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,2.339184522628784,9,,,,,,,,,,
0,2.1915488243103027,19,,,,,,,,,,
0,1.4749654531478882,29,,,,,,,,,,
0,1.1598178148269653,39,,,,,,,,,,
0,0.998725950717926,49,,,,,,,,,,
0,,55,0.8443633317947388,0.4572361409664154,0.48839110136032104,0.3522012531757355,1.5586247444152832,,,,,
1,1.7078583240509033,59,,,,,,,,,,
1,1.325558066368103,69,,,,,,,,,,
1,0.5728069543838501,79,,,,,,,,,,
1,1.902948260307312,89,,,,,,,,,,
1,2.2465739250183105,99,,,,,,,,,,
1,1.4637691974639893,109,,,,,,,,,,
1,,111,0.8487106561660767,0.46788302063941956,0.49213868379592896,0.37735849618911743,1.4207117557525635,,,,,
2,1.5835707187652588,119,,,,,,,,,,
2,1.305153727531433,129,,,,,,,,,,
2,1.4283944368362427,139,,,,,,,,,,
2,1.1781506538391113,149,,,,,,,,,,
2,1.09784734249115,159,,,,,,,,,,
2,,167,0.8497599363327026,0.46643638610839844,0.4922241270542145,0.3836477994918823,1.3572843074798584,,,,,
3,1.4391108751296997,169,,,,,,,,,,
3,1.0216929912567139,179,,,,,,,,,,
3,1.096458077430725,189,,,,,,,,,,
3,1.430737853050232,199,,,,,,,,,,
3,1.4731261730194092,209,,,,,,,,,,
3,1.7615694999694824,219,,,,,,,,,,
3,,223,0.8464105725288391,0.46203091740608215,0.48919677734375,0.37735849618911743,1.3286391496658325,,,,,
4,1.0147603750228882,229,,,,,,,,,,
4,0.7575874924659729,239,,,,,,,,,,
4,1.0107860565185547,249,,,,,,,,,,
4,0.8022651076316833,259,,,,,,,,,,
4,0.7134897708892822,269,,,,,,,,,,
4,0.9159063696861267,279,,,,,,,,,,
4,,279,0.8504117727279663,0.47413259744644165,0.500476062297821,0.3899371027946472,1.3238074779510498,,,,,
5,,280,,,,,,0.3899371027946472,0.8504117727279663,0.47413259744644165,0.500476062297821,1.3238074779510498
