train_loss,epoch,step,val_qa_sas,val_qa_bert_score,val_loss,val_qa_em,val_qa_answer_f1,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_avg_qa_em,test_loss
2.221158266067505,0,9,,,,,,,,,,
0.8784626126289368,0,19,,,,,,,,,,
0.8821191787719727,0,29,,,,,,,,,,
0.5975196361541748,0,39,,,,,,,,,,
0.9257069230079651,0,49,,,,,,,,,,
0.7835441827774048,0,59,,,,,,,,,,
,0,62,0.3128730058670044,0.8138917684555054,0.3943255841732025,0.26754385232925415,0.35544776916503906,,,,,
0.40649569034576416,1,69,,,,,,,,,,
0.2882936894893646,1,79,,,,,,,,,,
0.4065876007080078,1,89,,,,,,,,,,
0.48862239718437195,1,99,,,,,,,,,,
0.6070810556411743,1,109,,,,,,,,,,
0.3772461712360382,1,119,,,,,,,,,,
,1,125,0.41502612829208374,0.8443447351455688,0.30937620997428894,0.36403509974479675,0.4482076168060303,,,,,
0.3769899606704712,2,129,,,,,,,,,,
0.5043285489082336,2,139,,,,,,,,,,
0.5028117895126343,2,149,,,,,,,,,,
0.5358032584190369,2,159,,,,,,,,,,
0.3593762218952179,2,169,,,,,,,,,,
0.370562881231308,2,179,,,,,,,,,,
,2,188,0.41399824619293213,0.8459183573722839,0.28807058930397034,0.37719297409057617,0.45563164353370667,,,,,
0.7240378856658936,3,189,,,,,,,,,,
0.2871043086051941,3,199,,,,,,,,,,
0.3806994557380676,3,209,,,,,,,,,,
0.37655606865882874,3,219,,,,,,,,,,
0.4270527958869934,3,229,,,,,,,,,,
0.36577069759368896,3,239,,,,,,,,,,
0.432174950838089,3,249,,,,,,,,,,
,3,251,0.42792803049087524,0.8485939502716064,0.27111878991127014,0.4035087823867798,0.4716155529022217,,,,,
0.39035481214523315,4,259,,,,,,,,,,
0.25763067603111267,4,269,,,,,,,,,,
0.327273964881897,4,279,,,,,,,,,,
0.3278515934944153,4,289,,,,,,,,,,
0.24314680695533752,4,299,,,,,,,,,,
0.31261876225471497,4,309,,,,,,,,,,
,4,314,0.48560458421707153,0.8648250102996826,0.25617989897727966,0.4517543911933899,0.5200991630554199,,,,,
,5,315,,,,,,0.8648250102996826,0.5200991630554199,0.48560458421707153,0.4517543911933899,0.25617989897727966
