train_loss,epoch,step,val_loss,val_qa_answer_f1,val_qa_em,val_qa_bert_score,val_qa_sas,test_avg_qa_sas,test_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1
1.2694100141525269,0,9,,,,,,,,,,
1.0768120288848877,0,19,,,,,,,,,,
1.2580182552337646,0,29,,,,,,,,,,
1.05789053440094,0,39,,,,,,,,,,
1.5639479160308838,0,49,,,,,,,,,,
,0,51,1.194815993309021,0.3425721526145935,0.12558139860630035,0.8177903294563293,0.4697963297367096,,,,,
1.2693201303482056,1,59,,,,,,,,,,
1.6865065097808838,1,69,,,,,,,,,,
1.36599862575531,1,79,,,,,,,,,,
1.3651765584945679,1,89,,,,,,,,,,
2.592228889465332,1,99,,,,,,,,,,
,1,103,1.137224793434143,0.3826613426208496,0.1534883677959442,0.8290287256240845,0.5084053874015808,,,,,
1.3671634197235107,2,109,,,,,,,,,,
1.2193379402160645,2,119,,,,,,,,,,
1.1032301187515259,2,129,,,,,,,,,,
1.2489920854568481,2,139,,,,,,,,,,
1.1722997426986694,2,149,,,,,,,,,,
,2,155,1.106682300567627,0.4116480350494385,0.17674419283866882,0.8385049700737,0.5337960124015808,,,,,
1.1626027822494507,3,159,,,,,,,,,,
1.1061240434646606,3,169,,,,,,,,,,
0.8409785032272339,3,179,,,,,,,,,,
1.1993328332901,3,189,,,,,,,,,,
1.098935842514038,3,199,,,,,,,,,,
,3,207,1.0970901250839233,0.4128563404083252,0.18139535188674927,0.8395653963088989,0.535400390625,,,,,
1.2729772329330444,4,209,,,,,,,,,,
1.1329556703567505,4,219,,,,,,,,,,
1.0987859964370728,4,229,,,,,,,,,,
0.817082405090332,4,239,,,,,,,,,,
1.0132442712783813,4,249,,,,,,,,,,
0.7145835161209106,4,259,,,,,,,,,,
,4,259,1.073061466217041,0.45732998847961426,0.2186046540737152,0.8506061434745789,0.5730503797531128,,,,,
,5,260,,,,,,0.5730503797531128,1.073061466217041,0.2186046540737152,0.8506061434745789,0.45732998847961426
