epoch,train_loss,step,val_qa_sas,val_qa_bert_score,val_qa_em,val_qa_answer_f1,val_loss,test_avg_qa_em,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss
0,2.74367356300354,9,,,,,,,,,,
0,2.169071674346924,19,,,,,,,,,,
0,1.165683388710022,29,,,,,,,,,,
0,1.3443831205368042,39,,,,,,,,,,
0,,47,0.5556477904319763,0.8612636923789978,0.36796537041664124,0.5296421647071838,1.8234533071517944,,,,,
1,1.1149805784225464,49,,,,,,,,,,
1,2.96699857711792,59,,,,,,,,,,
1,2.3079631328582764,69,,,,,,,,,,
1,1.6400671005249023,79,,,,,,,,,,
1,2.114269971847534,89,,,,,,,,,,
1,,95,0.5766764283180237,0.8729338049888611,0.40692639350891113,0.5569560527801514,1.6599071025848389,,,,,
2,0.9661483764648438,99,,,,,,,,,,
2,0.9865075349807739,109,,,,,,,,,,
2,1.188785195350647,119,,,,,,,,,,
2,0.8931522965431213,129,,,,,,,,,,
2,1.194214940071106,139,,,,,,,,,,
2,,143,0.6000000238418579,0.8804473876953125,0.4458874464035034,0.58103346824646,1.5925413370132446,,,,,
3,1.0423808097839355,149,,,,,,,,,,
3,1.6271578073501587,159,,,,,,,,,,
3,1.0025091171264648,169,,,,,,,,,,
3,1.2496592998504639,179,,,,,,,,,,
3,1.6615561246871948,189,,,,,,,,,,
3,,191,0.6091145873069763,0.8813102841377258,0.47186148166656494,0.5885784029960632,1.5700511932373047,,,,,
4,1.459985613822937,199,,,,,,,,,,
4,1.5184190273284912,209,,,,,,,,,,
4,1.8899195194244385,219,,,,,,,,,,
4,1.0528631210327148,229,,,,,,,,,,
4,1.4931374788284302,239,,,,,,,,,,
4,,239,0.6172200441360474,0.8855807185173035,0.4848484992980957,0.596167266368866,1.5486539602279663,,,,,
5,,240,,,,,,0.4848484992980957,0.8855807185173035,0.596167266368866,0.6172200441360474,1.5486539602279663
