train_loss,step,epoch,val_qa_sas,val_loss,val_qa_em,val_qa_answer_f1,val_qa_bert_score,test_avg_qa_bert_score,test_avg_qa_answer_f1,test_avg_qa_sas,test_loss,test_avg_qa_em
1.630279302597046,9,0,,,,,,,,,,
0.8633805513381958,19,0,,,,,,,,,,
1.053990364074707,29,0,,,,,,,,,,
0.6818552613258362,39,0,,,,,,,,,,
0.6880598068237305,49,0,,,,,,,,,,
0.7978872060775757,59,0,,,,,,,,,,
,60,0,0.22938856482505798,0.45729514956474304,0.16988417506217957,0.27169013023376465,0.8056207895278931,,,,,
0.49552714824676514,69,1,,,,,,,,,,
0.4063393771648407,79,1,,,,,,,,,,
0.5702791213989258,89,1,,,,,,,,,,
0.3749730587005615,99,1,,,,,,,,,,
0.531518280506134,109,1,,,,,,,,,,
0.5462047457695007,119,1,,,,,,,,,,
,121,1,0.3516106605529785,0.3655972480773926,0.27799227833747864,0.37942811846733093,0.8345352411270142,,,,,
0.339181512594223,129,2,,,,,,,,,,
0.4310287535190582,139,2,,,,,,,,,,
0.46855300664901733,149,2,,,,,,,,,,
0.41738349199295044,159,2,,,,,,,,,,
0.3582957088947296,169,2,,,,,,,,,,
0.47249189019203186,179,2,,,,,,,,,,
,182,2,0.3810649812221527,0.31363388895988464,0.3320463299751282,0.4174450635910034,0.8453136086463928,,,,,
0.3919450342655182,189,3,,,,,,,,,,
0.2813560664653778,199,3,,,,,,,,,,
0.30537861585617065,209,3,,,,,,,,,,
0.3762928545475006,219,3,,,,,,,,,,
0.45791125297546387,229,3,,,,,,,,,,
0.2032271921634674,239,3,,,,,,,,,,
,243,3,0.40580007433891296,0.2913972735404968,0.35521236062049866,0.4503926932811737,0.8582910895347595,,,,,
0.3327023983001709,249,4,,,,,,,,,,
0.23377296328544617,259,4,,,,,,,,,,
0.31287768483161926,269,4,,,,,,,,,,
0.2641087770462036,279,4,,,,,,,,,,
0.22926568984985352,289,4,,,,,,,,,,
0.30016258358955383,299,4,,,,,,,,,,
,304,4,0.437147855758667,0.2636010944843292,0.38223937153816223,0.479213684797287,0.8669848442077637,,,,,
,305,5,,,,,,0.8669848442077637,0.479213684797287,0.437147855758667,0.2636010944843292,0.38223937153816223
