train_loss,epoch,step,val_qa_answer_f1,val_qa_sas,val_qa_em,val_qa_bert_score,val_loss,test_avg_qa_bert_score,test_avg_qa_sas,test_avg_qa_em,test_loss,test_avg_qa_answer_f1
1.954633355140686,0,9,,,,,,,,,,
3.5106935501098633,0,19,,,,,,,,,,
1.8984242677688599,0,29,,,,,,,,,,
2.459195852279663,0,39,,,,,,,,,,
,0,48,0.25311005115509033,0.26931270956993103,0.16267941892147064,0.751830518245697,2.2306182384490967,,,,,
1.4106431007385254,1,49,,,,,,,,,,
1.7422722578048706,1,59,,,,,,,,,,
1.456317663192749,1,69,,,,,,,,,,
2.3550705909729004,1,79,,,,,,,,,,
1.5444679260253906,1,89,,,,,,,,,,
,1,97,0.37599679827690125,0.386352002620697,0.23923444747924805,0.7975894212722778,1.9401023387908936,,,,,
1.9041064977645874,2,99,,,,,,,,,,
1.1338856220245361,2,109,,,,,,,,,,
1.6981861591339111,2,119,,,,,,,,,,
1.5485050678253174,2,129,,,,,,,,,,
6.312956809997559,2,139,,,,,,,,,,
,2,146,0.46111440658569336,0.4870632588863373,0.31578946113586426,0.8336920142173767,1.7340341806411743,,,,,
2.040647506713867,3,149,,,,,,,,,,
1.4573071002960205,3,159,,,,,,,,,,
0.9114403128623962,3,169,,,,,,,,,,
0.716854453086853,3,179,,,,,,,,,,
1.7372180223464966,3,189,,,,,,,,,,
,3,195,0.49147874116897583,0.5794764757156372,0.339712917804718,0.8679704666137695,1.6544606685638428,,,,,
1.202476143836975,4,199,,,,,,,,,,
1.1415175199508667,4,209,,,,,,,,,,
1.2685188055038452,4,219,,,,,,,,,,
1.7270922660827637,4,229,,,,,,,,,,
0.7751500010490417,4,239,,,,,,,,,,
,4,244,0.5273638963699341,0.6076311469078064,0.35885167121887207,0.8786442875862122,1.5978050231933594,,,,,
,5,245,,,,,,0.8786442875862122,0.6076311469078064,0.35885167121887207,1.5978050231933594,0.5273638963699341
